Index_ID,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
74,2024-08-28,Skeleton,43.0,castle,arson,knife,day,cloak,Skeleton,Yes,474.0,M,168.0,12.0,2.0,garlic,RATS
75,2021-11-08,Zombie,45.0,swamp,assault,pistol,dusk,blood,Zombie,No,60.0,M,193.0,16.0,10.0,cat hair,brain
76,2023-01-24,Ghost,61.0,castle,nightly disturbance,axe,night,potions,Ghost,No,1.0,F,153.0,50.0,5.0,silver,pesto pasta
77,2020-11-26,Werewolf,89.0,forest,assault,brute force,night,fur,Werewolf,No,1.0,F,157.0,30.0,6.0,garlic,brain
78,2023-10-11,Werewolf,61.0,village,assault,knife,night,teeth,Werewolf,Yes,114.0,M,153.0,60.0,3.0,silver,rats
79,2020-03-20,Skeleton,83.0,castle,nightly disturbance,,night,bones,Skeleton,No,885.0,M,188.0,2.0,1.0,silver,brain
80,2020-01-31,Werewolf,71.0,forest,vandalism,brute force,night,blood,Werewolf,Yes,95.0,F,188.0,32.0,8.0,silver,humans
81,2023-07-15,Werewolf,6.0,mountain,vandalism,brute force,night,fur,Werewolf,No,73.0,M,185.0,54.0,7.0,silver,lasagna
82,2021-02-07,Zombie,71.0,village,assault,,day,potions,Zombie,No,165.0,F,164.0,17.0,1.0,pumpkin,lasagna
83,2024-02-29,Skeleton,92.0,castle,ARSON,pistol,dawn,bones,Skeleton,No,760.0,M,158.0,13.0,7.0,cat hair,pesto pasta
84,2021-06-13,Zombie,10.0,swamp,assault,brute force,night,potions,Zombie,Yes,71.0,F,180.0,14.0,4.0,garlic,rats
85,2020-04-10,Zombie,14.0,village,kidnapping,axe,dusk,fur,Zombie,Yes,197.0,M,164.0,12.0,5.0,cat hair,lasagna
86,2024-08-15,Skeleton,37.0,mountain,vandalism,brute force,dusk,bones,Skeleton,Yes,1052.0,M,188.0,9.0,5.0,silver,rats
87,2021-02-17,Vampire,1.0,castle,assault,brute force,night,cloak,Vampire,Yes,398.0,F,195.0,30.0,4.0,sunlight,brain
88,2024-09-07,Zombie,56.0,swamp,murder,knife,dawn,potions,Zombie,No,107.0,F,197.0,5.0,7.0,sunlight,brain
89,2020-05-23,Ghost,1.0,village,vandalism,pistol,dusk,cloak,Ghost,No,1.0,M,171.0,40.0,3.0,garlic,pesto pasta
90,2021-12-16,Ghost,47.0,forest,nightly disturbance,pistol,night,potions,Ghost,No,1052.0,M,185.0,19.0,8.0,silver,pesto pasta
91,2021-05-21,Werewolf,60.0,village,vandalism,brute force,night,blood,Werewolf,Yes,110.0,F,150.0,58.0,4.0,cat hair,lasagna
92,2022-05-15,Ghost,92.0,castle,nightly disturbance,,night,potions,Ghost,Yes,871.0,F,190.0,52.0,4.0,sunlight,pesto pasta
93,2023-05-23,Werewolf,56.0,forest,kidnapping,,night,fur,Werewolf,Yes,11.0,F,154.0,77.0,7.0,hazelnut,humans
94,2024-07-03,Vampire,3.0,mountain,assault,,dawn,cloak,Vampire,No,536.0,F,192.0,34.0,6.0,silver,rats
95,2021-11-15,Skeleton,17.0,mountain,vandalism,pistol,day,bones,Skeleton,Yes,141.0,F,169.0,38.0,10.0,garlic,humans
96,2020-09-27,Skeleton,81.0,mountain,nightly disturbance,knife,night,Bones,Skeleton,No,688.0,M,195.0,37.0,1.0,hazelnut,pesto pasta
97,2021-11-26,Skeleton,20.0,mountain,nightly disturbance,brute force,night,bones,Skeleton,Yes,1.0,M,165.0,28.0,7.0,silver,pesto pasta
98,2021-10-26,Ghost,76.0,village,nightly disturbance,brute force,night,potions,Ghost,No,2126.0,F,177.0,48.0,5.0,sunlight,lasagna
99,2021-01-01,Vampire,74.0,castle,assault,pistol,night,cloak,Vampire,No,614.0,F,180.0,34.0,6.0,silver,brain
100,2023-08-02,Ghost,99.0,castle,nightly disturbance,,night,cloak,Ghost,No,1666.0,F,195.0,28.0,1.0,pumpkin,pesto pasta
101,2021-04-28,Ghost,75.0,castle,nightly disturbance,,night,potions,Ghost,Yes,2349.0,M,185.0,18.0,1.0,Sunlight,humans
102,2023-10-06,Vampire,22.0,village,nightly disturbance,,night,teeth,Vampire,Yes,150.0,F,197.0,40.0,6.0,sunlight,rats
103,2023-08-29,Vampire,4.0,castle,assault,knife,night,blood,Vampire,Yes,901.0,M,175.0,47.0,6.0,sunlight,pesto pasta
104,2023-06-18,Vampire,44.0,castle,assault,,night,teeth,Vampire,Yes,575.0,M,186.0,46.0,5.0,silver,rats
105,2020-03-24,Vampire,9.0,castle,assault,knife,dusk,blood,Vampire,Yes,39.0,F,165.0,36.0,2.0,silver,rats
106,2023-03-30,Skeleton,42.0,castle,assault,knife,dawn,bones,Skeleton,Yes,1661.0,F,166.0,46.0,8.0,silver,lasagna
107,2023-05-22,Witch,19.0,village,arson,,day,potions,Witch,Yes,335.0,F,168.0,14.0,1.0,hazelnut,lasagna
108,2020-10-14,Witch,87.0,swamp,arson,pistol,night,potions,Witch,Yes,629.0,M,199.0,20.0,7.0,hazelnut,brain
109,2022-10-27,Vampire,33.0,castle,assault,knife,night,blood,Vampire,Yes,613.0,M,197.0,36.0,6.0,silver,pesto pasta
110,2023-12-01,Witch,80.0,village,arson,knife,dusk,Teeth,Witch,Yes,607.0,F,175.0,30.0,2.0,garlic,lasagna
111,2021-03-14,Witch,95.0,village,arson,knife,dusk,potions,Witch,Yes,232.0,M,192.0,25.0,2.0,garlic,pesto pasta
112,2020-09-28,Vampire,55.0,castle,nightly disturbance,axe,night,teeth,Vampire,No,264.0,F,188.0,75.0,5.0,silver,lasagna
113,2022-06-02,Witch,21.0,village,arson,brute force,day,TEETH,Witch,Yes,107.0,F,167.0,15.0,7.0,hazelnut,pesto pasta
114,2021-12-15,Ghost,32.0,castle,vandalism,knife,night,cloak,Ghost,No,578.0,M,153.0,35.0,8.0,sunlight,pesto pasta
115,2021-05-04,Werewolf,4.0,village,vandalism,brute force,night,blood,Werewolf,Yes,52.0,F,193.0,78.0,7.0,sunlight,lasagna
116,2023-06-01,Werewolf,58.0,mountain,assault,knife,night,fur,Werewolf,No,51.0,F,193.0,83.0,6.0,silver,rats
117,2023-09-08,Vampire,89.0,castle,nightly disturbance,,night,blood,Vampire,Yes,468.0,F,178.0,42.0,5.0,garlic,humans
118,2022-12-13,Skeleton,91.0,castle,nightly disturbance,brute force,night,cloak,Skeleton,No,838.0,F,172.0,47.0,7.0,silver,rats
119,2021-01-21,Vampire,43.0,castle,assault,pistol,night,cloak,Vampire,Yes,370.0,F,175.0,45.0,8.0,silver,pesto pasta
120,2023-09-01,Skeleton,29.0,mountain,nightly disturbance,,night,cloak,Skeleton,Yes,2175.0,F,152.0,18.0,10.0,silver,humans
121,2021-08-24,Werewolf,49.0,village,vandalism,,night,fur,Werewolf,No,96.0,M,163.0,73.0,5.0,silver,lasagna
122,2024-07-21,Vampire,12.0,village,nightly disturbance,axe,night,blood,Vampire,Yes,220.0,F,187.0,24.0,8.0,sunlight,rats
123,2024-02-19,Zombie,31.0,mountain,assault,,dusk,blood,Zombie,No,131.0,M,197.0,12.0,2.0,cat hair,lasagna
124,2024-03-06,Ghost,41.0,village,vandalism,,dusk,potions,Ghost,No,3591.0,F,152.0,49.0,9.0,sunlight,pesto pasta
125,2020-02-21,Witch,83.0,swamp,arson,,dusk,cloak,Witch,No,265.0,F,181.0,18.0,2.0,pumpkin,pesto pasta
126,2021-02-10,Skeleton,67.0,mountain,assault,pistol,day,bones,Skeleton,Yes,529.0,F,156.0,51.0,7.0,silver,humans
127,2024-06-08,Zombie,96.0,swamp,assault,pistol,day,potions,Zombie,No,119.0,M,156.0,5.0,4.0,cat hair,pesto pasta
128,2020-01-03,Witch,79.0,swamp,arson,,day,potions,Witch,No,340.0,M,183.0,22.0,7.0,pumpkin,humans
129,2024-05-04,Witch,39.0,swamp,kidnapping,pistol,dusk,potions,Witch,No,496.0,M,182.0,20.0,3.0,pumpkin,brain
130,2021-08-06,vampire,90.0,castle,nightly disturbance,,night,cloak,vampire,Yes,388.0,F,180.0,33.0,6.0,silver,brain
131,2022-01-28,Witch,3.0,forest,arson,axe,day,bones,Witch,Yes,642.0,M,175.0,21.0,6.0,hazelnut,rats
132,2021-04-30,Ghost,78.0,village,nightly disturbance,,night,cloak,Ghost,No,1824.0,F,183.0,52.0,2.0,cat hair,rats
133,2020-03-13,Zombie,71.0,swamp,kidnapping,,dusk,potions,Zombie,No,116.0,M,168.0,12.0,1.0,silver,pesto pasta
134,2021-01-04,Witch,64.0,Village,kidnapping,,dawn,potions,Witch,No,400.0,M,188.0,12.0,2.0,silver,pesto pasta
135,2023-01-03,Vampire,89.0,castle,nightly disturbance,axe,night,blood,Vampire,Yes,576.0,F,168.0,43.0,6.0,garlic,brain
136,2024-09-27,Ghost,87.0,castle,nightly disturbance,axe,night,potions,Ghost,Yes,2203.0,F,175.0,36.0,9.0,pumpkin,brain
138,2021-08-04,Zombie,55.0,village,assault,brute force,dawn,bones,Zombie,Yes,7.0,F,160.0,21.0,3.0,pumpkin,humans
139,2021-01-07,Witch,86.0,forest,arson,knife,day,cloak,Witch,No,321.0,M,169.0,23.0,2.0,pumpkin,rats
140,2023-07-03,Vampire,43.0,mountain,nightly disturbance,,night,cloak,Vampire,Yes,558.0,M,182.0,27.0,4.0,garlic,rats
141,2022-08-17,Werewolf,45.0,forest,assault,knife,night,fur,Werewolf,Yes,104.0,M,182.0,49.0,6.0,cat hair,brain
142,2022-01-17,Werewolf,59.0,forest,kidnapping,,dusk,bones,Werewolf,Yes,133.0,M,198.0,68.0,6.0,silver,brain
143,2024-10-14,Skeleton,3.0,mountain,arson,knife,day,bones,Skeleton,No,1066.0,M,154.0,27.0,1.0,garlic,lasagna
144,2023-06-07,Ghost,18.0,castle,nightly disturbance,knife,night,potions,Ghost,Yes,1806.0,F,188.0,19.0,8.0,sunlight,lasagna
145,2022-05-26,Witch,7.0,village,kidnapping,knife,dusk,potions,Witch,Yes,463.0,M,197.0,21.0,1.0,hazelnut,rats
146,2020-08-17,Vampire,52.0,castle,ASSAULT,,night,blood,Vampire,No,480.0,F,166.0,52.0,7.0,silver,humans
147,2021-04-24,Skeleton,56.0,castle,nightly disturbance,pistol,night,bones,Skeleton,No,964.0,F,190.0,31.0,5.0,garlic,humans
148,2020-08-10,Ghost,56.0,village,arson,knife,night,potions,Ghost,No,1637.0,M,190.0,98.0,7.0,pumpkin,lasagna
149,2021-03-18,Skeleton,45.0,mountain,vandalism,brute force,day,bones,Skeleton,No,1149.0,F,195.0,30.0,4.0,garlic,brain
150,2024-01-02,Zombie,89.0,mountain,vandalism,knife,day,bones,Zombie,No,88.0,F,183.0,9.0,5.0,garlic,lasagna
151,2022-12-22,Ghost,81.0,castle,vandalism,,night,cloak,Ghost,No,776.0,F,198.0,37.0,1.0,sunlight,humans
152,2022-11-06,Ghost,86.0,village,nightly disturbance,,night,cloak,Ghost,No,2554.0,F,157.0,67.0,1.0,silver,pesto pasta
153,2021-04-20,Witch,77.0,village,arson,knife,day,cloak,Witch,Yes,321.0,F,190.0,22.0,6.0,hazelnut,pesto pasta
154,2024-01-06,Ghost,69.0,castle,vandalism,,dawn,cloak,Ghost,Yes,1963.0,F,179.0,67.0,2.0,sunlight,lasagna
155,2023-02-08,Skeleton,66.0,castle,vandalism,,day,bones,Skeleton,Yes,946.0,M,164.0,25.0,9.0,silver,pesto pasta
156,2022-03-25,Ghost,72.0,village,vandalism,pistol,night,potions,Ghost,No,1841.0,F,185.0,87.0,10.0,sunlight,brain
157,2023-02-06,Witch,77.0,swamp,arson,knife,dawn,potions,Witch,Yes,405.0,F,152.0,23.0,1.0,hazelnut,rats
159,2021-11-09,Zombie,29.0,swamp,vandalism,knife,dawn,teeth,Zombie,Yes,23.0,M,180.0,9.0,9.0,garlic,humans
160,2021-01-21,Skeleton,41.0,mountain,vandalism,knife,dusk,cloak,Skeleton,Yes,1125.0,F,194.0,39.0,8.0,silver,rats
161,2020-08-08,Werewolf,33.0,swamp,assault,brute force,night,potions,Werewolf,Yes,85.0,F,163.0,79.0,7.0,silver,pesto pasta
162,2022-09-07,Werewolf,83.0,forest,nightly disturbance,knife,night,teeth,Werewolf,Yes,190.0,F,179.0,81.0,4.0,garlic,humans
163,2022-08-05,Ghost,54.0,castle,vandalism,knife,dusk,cloak,Ghost,No,819.0,M,172.0,3.0,4.0,sunlight,pesto pasta
164,2020-05-03,Zombie,77.0,swamp,kidnapping,knife,dusk,potions,Zombie,Yes,40.0,F,168.0,17.0,3.0,pumpkin,brain
165,2024-01-24,Vampire,51.0,castle,assault,,night,cloak,Vampire,Yes,467.0,F,157.0,31.0,8.0,sunlight,humans
166,2020-02-03,Ghost,80.0,forest,arson,axe,night,potions,Ghost,No,1387.0,F,170.0,61.0,10.0,sunlight,pesto pasta
167,2024-08-27,ZOMBIE,24.0,village,murder,knife,dusk,teeth,ZOMBIE,No,111.0,M,186.0,9.0,1.0,cat hair,humans
168,2020-06-10,Skeleton,61.0,mountain,vandalism,brute force,day,bones,Skeleton,No,435.0,M,150.0,1.0,9.0,garlic,brain
169,2020-09-07,Skeleton,92.0,Mountain,vandalism,knife,dusk,bones,Skeleton,Yes,1288.0,M,191.0,11.0,2.0,pumpkin,lasagna
170,2023-05-07,Skeleton,70.0,castle,assault,pistol,day,bones,Skeleton,No,1146.0,M,165.0,26.0,9.0,silver,humans
171,2020-09-21,Skeleton,71.0,castle,arson,pistol,dusk,bones,Skeleton,Yes,1918.0,F,181.0,13.0,10.0,silver,BRAIN
172,2024-04-08,Skeleton,54.0,mountain,arson,knife,night,bones,Skeleton,No,1181.0,F,178.0,16.0,5.0,garlic,lasagna
173,2023-08-23,Zombie,45.0,swamp,kidnapping,pistol,night,teeth,Zombie,Yes,134.0,F,151.0,12.0,4.0,silver,brain
174,2022-03-12,Zombie,46.0,mountain,kidnapping,axe,dusk,fur,Zombie,Yes,79.0,M,170.0,18.0,6.0,sunlight,pesto pasta
175,2023-03-04,Witch,4.0,forest,kidnapping,,dawn,bones,Witch,Yes,179.0,M,176.0,16.0,1.0,hazelnut,rats
176,2020-03-08,Werewolf,55.0,mountain,assault,axe,day,bones,Werewolf,No,78.0,F,172.0,62.0,7.0,cat hair,humans
177,2021-12-26,Skeleton,27.0,mountain,arson,,day,cloak,Skeleton,No,1434.0,F,188.0,31.0,8.0,silver,brain
178,2021-12-19,Vampire,56.0,castle,nightly disturbance,,night,blood,Vampire,Yes,422.0,F,151.0,63.0,4.0,garlic,pesto pasta
179,2023-03-03,Zombie,96.0,forest,kidnapping,,day,blood,Zombie,Yes,51.0,M,183.0,16.0,4.0,garlic,lasagna
180,2022-06-14,Vampire,35.0,village,murder,brute force,night,cloak,Vampire,No,727.0,F,193.0,41.0,7.0,garlic,pesto pasta
181,2022-10-17,Vampire,95.0,mountain,murder,,night,teeth,Vampire,No,204.0,M,196.0,23.0,6.0,silver,pesto pasta
182,2021-03-27,Vampire,62.0,castle,assault,,night,blood,Vampire,Yes,478.0,f,162.0,52.0,2.0,garlic,brain
183,2022-12-06,Witch,51.0,forest,arson,knife,dawn,teeth,Witch,Yes,458.0,M,156.0,15.0,3.0,hazelnut,brain
184,2024-08-26,Zombie,83.0,mountain,Assault,pistol,dawn,potions,Zombie,No,129.0,F,151.0,18.0,5.0,cat hair,pesto pasta
185,2019-11-22,Vampire,95.0,village,assault,brute force,night,cloak,Vampire,Yes,213.0,M,193.0,35.0,5.0,silver,brain
186,2023-08-23,Skeleton,73.0,forest,nightly disturbance,,night,bones,Skeleton,Yes,668.0,F,157.0,8.0,5.0,silver,brain
187,2023-11-14,Ghost,66.0,village,theft,knife,night,cloak,Ghost,Yes,696.0,F,199.0,79.0,4.0,pumpkin,pesto pasta
188,2020-06-20,Vampire,38.0,castle,nightly disturbance,axe,night,blood,Vampire,No,392.0,M,175.0,26.0,6.0,sunlight,rats
189,2023-08-26,Witch,35.0,village,arson,,dusk,cloak,Witch,Yes,819.0,M,167.0,22.0,6.0,hazelnut,rats
190,2024-10-15,Zombie,27.0,swamp,kidnapping,pistol,dusk,potions,Zombie,Yes,25.0,F,194.0,13.0,6.0,cat hair,Rats
191,2022-11-02,Witch,9.0,forest,kidnapping,knife,day,cloak,Witch,No,544.0,M,184.0,19.0,2.0,hazelnut,pesto pasta
192,2024-01-14,Vampire,77.0,castle,murder,knife,night,blood,Vampire,Yes,717.0,F,150.0,33.0,1.0,garlic,humans
193,2021-04-28,Zombie,87.0,swamp,kidnapping,knife,dusk,fur,Zombie,Yes,24.0,M,187.0,9.0,5.0,cat hair,rats
194,2024-02-20,Ghost,49.0,village,nightly disturbance,knife,night,cloak,Ghost,Yes,868.0,M,178.0,51.0,8.0,sunlight,lasagna
195,2023-06-03,Vampire,95.0,village,murder,brute force,dusk,teeth,Vampire,No,853.0,M,166.0,29.0,3.0,silver,humans
197,2020-06-14,Werewolf,79.0,forest,assault,knife,dusk,fur,Werewolf,No,125.0,M,168.0,98.0,2.0,cat hair,lasagna
198,2021-06-22,Skeleton,24.0,castle,assault,pistol,day,cloak,Skeleton,No,1.0,F,190.0,41.0,8.0,silver,brain
199,2022-04-07,Witch,45.0,forest,ARSON,,dusk,bones,Witch,No,341.0,M,195.0,14.0,2.0,garlic,humans
