Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found
5730,2021-05-19,Werewolf,59.0,swamp,kidnapping,brute force,night,teeth
5961,2023-06-02,Skeleton,47.0,castle,assault,N/A,dusk,bones
861,2022-11-05,Vampire,58.0,village,assault,axe,night,blood
2634,2021-07-18,GHOST,8.0,castle,vandalism,knife,dawn,potions
9882,2020-01-31,Vampire,94.0,forest,assault,N/A,night,cloak
9858,2020-06-28,Zombie,57.0,swamp,murder,pistol,dusk,fur
6724,2023-08-17,Witch,90.0,swamp,arson,knife,dawn,cloak
1528,2020-05-22,Ghost,44.0,village,nightly disturbance,N/A,night,cloak
8517,2023-09-09,Witch,76.0,swamp,kidnapping,axe,day,potions
6029,2020-12-28,Zombie,72.0,mountain,kidnapping,N/A,dusk,bones
7171,2020-06-04,Vampire,80.0,castle,nightly disturbance,pistol,night,blood
8471,2021-04-09,Vampire,38.0,forest,nightly disturbance,brute force,night,cloak
3593,2021-09-05,Vampire,18.0,castle,assault,knife,night,cloak
9326,2021-07-14,Werewolf,77.0,village,assault,N/A,dusk,teeth
5687,2024-05-04,Vampire,25.0,forest,assault,knife,dusk,blood
7684,2020-01-09,Ghost,6.0,forest,vandalism,N/A,dusk,potions
5517,2020-05-23,Ghost,54.0,village,nightly disturbance,N/A,night,potions
8052,2022-01-02,Skeleton,55.0,mountain,arson,N/A,night,bones
9317,2020-12-03,Werewolf,69.0,mountain,assault,axe,night,fur
7735,2021-10-03,Zombie,2.0,forest,kidnapping,knife,day,potions
8506,2020-12-26,Skeleton,17.0,castle,vandalism,knife,day,cloak
2682,2023-03-22,Witch,6.0,village,kidnapping,N/A,dusk,cloak
3759,2019-12-04,Witch,73.0,village,kidnapping,knife,night,potions
5364,2020-02-08,Ghost,49.0,castle,VANDALISM,brute force,night,potions
2029,2024-03-07,Zombie,5.0,forest,kidnapping,knife,dusk,potions
5183,2020-07-23,Witch,16.0,village,kidnapping,knife,day,teeth
8814,2022-03-01,Witch,92.0,swamp,Arson,N/A,night,teeth
6930,2020-01-25,Skeleton,71.0,castle,assault,pistol,night,bones
6934,2024-04-06,Werewolf,36.0,forest,kidnapping,knife,dusk,blood
9119,2022-11-28,zombie,7.0,mountain,assault,knife,dawn,potions
5515,2022-12-25,Witch,13.0,village,arson,N/A,dawn,cloak
2488,2024-04-11,Skeleton,21.0,castle,vandalism,N/A,dawn,bones
6007,2023-04-17,Werewolf,80.0,forest,KIDNAPPING,axe,night,fur
8262,2022-11-08,Witch,92.0,mountain,arson,brute force,night,potions
9650,2022-02-18,Zombie,88.0,mountain,murder,knife,dusk,blood
2882,2020-09-17,Vampire,20.0,castle,assault,knife,dusk,blood
3776,2024-05-25,Witch,55.0,village,kidnapping,knife,dusk,potions
3575,2021-02-02,Witch,45.0,swamp,kidnapping,brute force,day,cloak
9656,2021-10-18,Skeleton,97.0,castle,nightly disturbance,knife,night,cloak
9493,2021-07-13,Ghost,68.0,castle,nightly disturbance,axe,night,potions
8667,2021-06-06,Zombie,77.0,swamp,vandalism,N/A,day,teeth
9946,2020-01-21,Witch,32.0,village,arson,knife,day,cloak
2269,2021-09-14,Skeleton,1.0,mountain,vandalism,N/A,dusk,cloak
5290,2020-02-05,Ghost,66.0,castle,nightly disturbance,knife,night,potions
4346,2023-11-10,Ghost,44.0,forest,nightly disturbance,N/A,night,cloak
4835,2021-01-29,Ghost,86.0,castle,nightly disturbance,N/A,night,cloak
4991,2020-02-07,Vampire,70.0,castle,nightly disturbance,axe,night,blood
3292,2022-09-19,Ghost,23.0,village,nightly disturbance,pistol,night,cloak
6214,2022-05-27,Skeleton,87.0,mountain,assault,pistol,dawn,Cloak
6539,2023-04-12,Vampire,44.0,forest,assault,N/A,night,blood
2325,2024-02-15,Vampire,47.0,village,nightly disturbance,axe,night,blood
9220,2020-07-16,Skeleton,39.0,forest,arson,pistol,dawn,bones
9315,2023-01-25,Witch,7.0,mountain,kidnapping,N/A,day,bones
5829,2022-06-23,Skeleton,9.0,mountain,nightly disturbance,N/A,night,bones
373,2021-12-14,Zombie,97.0,swamp,kidnapping,brute force,dusk,bones
4977,2023-09-26,Witch,94.0,forest,arson,N/A,night,cloak
9466,2022-11-07,Vampire,66.0,castle,assault,axe,dawn,blood
9346,2024-06-05,Werewolf,39.0,swamp,vandalism,N/A,night,fur
4625,2021-06-04,Witch,52.0,mountain,arson,N/A,night,potions
251,2022-11-28,Witch,86.0,village,arson,N/A,day,cloak
1972,2024-07-26,Skeleton,89.0,castle,arson,N/A,night,bones
6278,2024-04-24,Zombie,87.0,swamp,assault,axe,Dusk,teeth
6171,2022-04-03,Skeleton,99.0,mountain,vandalism,N/A,dusk,cloak
9984,2021-03-02,Skeleton,76.0,castle,ASSAULT,axe,dusk,cloak
8220,2024-06-16,Vampire,27.0,Mountain,assault,axe,dawn,cloak
9369,2022-06-28,Vampire,52.0,mountain,assault,N/A,night,blood
860,2022-03-06,Werewolf,55.0,forest,assault,knife,day,bones
4096,2020-06-09,Werewolf,40.0,forest,assault,N/A,dawn,fur
9282,2020-03-20,Werewolf,49.0,forest,assault,brute force,day,blood
9405,2023-04-28,Vampire,12.0,castle,assault,brute force,dawn,blood
4410,2024-01-13,Witch,96.0,village,arson,pistol,dawn,teeth
6816,2021-03-17,Werewolf,64.0,forest,vandalism,knife,NIGHT,fur
2832,2022-08-24,Zombie,11.0,swamp,kidnapping,N/A,dawn,bones
9148,2023-10-12,Witch,78.0,swamp,arson,knife,dusk,bones
632,2022-04-06,Werewolf,43.0,swamp,vandalism,N/A,night,blood
7627,2024-03-16,Skeleton,76.0,mountain,vandalism,axe,dusk,cloak
4599,2023-09-05,Zombie,18.0,swamp,murder,pistol,night,potions
3796,2023-06-21,Zombie,13.0,forest,kidnapping,N/A,day,fur
5971,2023-06-29,Zombie,27.0,swamp,kidnapping,N/A,night,blood
4965,2021-07-22,Ghost,72.0,village,vandalism,N/A,dusk,cloak
5551,2024-01-04,Witch,14.0,forest,arson,knife,dawn,teeth
2827,2023-05-02,Werewolf,82.0,forest,assault,N/A,night,fur
8197,2020-08-08,Skeleton,4.0,mountain,nightly disturbance,N/A,night,bones
2433,2019-12-23,Skeleton,55.0,castle,vandalism,brute force,day,cloak
4401,2021-06-13,Skeleton,88.0,castle,nightly disturbance,knife,night,bones
3960,2021-03-10,Vampire,3.0,mountain,assault,brute force,night,blood
8211,2021-01-17,Zombie,81.0,swamp,murder,axe,night,fur
1913,2024-06-19,Skeleton,36.0,castle,vandalism,knife,day,bones
6394,2020-10-28,Ghost,24.0,village,theft,knife,dawn,cloak
791,2022-03-21,Witch,26.0,village,arson,brute force,day,cloak
9989,2023-03-04,Ghost,83.0,forest,nightly disturbance,knife,night,cloak
2913,2020-05-15,Zombie,61.0,swamp,vandalism,pistol,dawn,fur
1187,2022-10-04,Skeleton,71.0,mountain,arson,axe,day,bones
2978,2022-12-06,Werewolf,38.0,mountain,assault,knife,night,fur
5717,2023-02-27,Vampire,7.0,mountain,assault,N/A,dawn,cloak
785,2022-04-23,Zombie,25.0,swamp,kidnapping,pistol,dawn,Blood
3407,2022-06-02,Witch,53.0,village,kidnapping,N/A,day,Potions
9929,2021-01-08,Zombie,6.0,swamp,vandalism,knife,dawn,fur
9490,2023-09-22,Vampire,22.0,village,assault,brute force,night,Cloak
3448,2023-08-28,Skeleton,19.0,mountain,nightly disturbance,N/A,night,bones
1418,2024-03-30,Ghost,25.0,village,nightly disturbance,brute force,Night,potions
4663,2024-07-13,Zombie,20.0,forest,murder,N/A,night,fur
5406,2021-12-19,Ghost,21.0,village,theft,knife,night,cloak
9401,2024-04-01,Skeleton,15.0,castle,vandalism,brute force,day,bones
5449,2020-04-08,Zombie,76.0,swamp,MURDER,N/A,day,potions
8588,2022-08-01,Skeleton,71.0,mountain,nightly disturbance,axe,night,cloak
1730,2021-07-14,Witch,84.0,swamp,theft,knife,dawn,teeth
4636,2023-03-25,Skeleton,66.0,mountain,nightly disturbance,brute force,night,bones
8145,2022-02-20,skeleton,80.0,mountain,vandalism,brute force,dusk,bones
629,2020-01-16,Skeleton,50.0,mountain,arson,knife,day,bones
7061,2024-06-05,Werewolf,29.0,forest,assault,knife,night,fur
3845,2024-01-17,Zombie,87.0,swamp,kidnapping,N/A,night,teeth
956,2024-03-09,Zombie,50.0,mountain,assault,pistol,dawn,teeth
6353,2022-03-05,werewolf,84.0,swamp,assault,axe,night,Blood
7713,2022-10-27,Witch,83.0,mountain,arson,knife,day,potions
1749,2020-09-10,Zombie,32.0,swamp,kidnapping,N/A,dawn,blood
356,2023-06-26,Vampire,87.0,village,assault,N/A,night,blood
9201,2024-08-26,Vampire,43.0,forest,assault,N/A,dusk,teeth
8401,2022-10-12,Werewolf,63.0,forest,assault,pistol,night,blood
2147,2023-05-18,Zombie,82.0,swamp,vandalism,pistol,night,bones
5760,2022-02-04,Werewolf,51.0,village,assault,brute force,night,potions
2715,2023-04-05,Ghost,87.0,village,nightly disturbance,knife,night,potions
1270,2022-04-13,Witch,76.0,village,arson,N/A,night,cloak
4467,2021-11-01,Witch,57.0,village,arson,knife,night,potions
5253,2024-05-12,Ghost,93.0,village,nightly disturbance,knife,night,cloak
8678,2023-06-14,Werewolf,44.0,mountain,kidnapping,N/A,night,teeth
1646,2021-11-15,Vampire,77.0,village,nightly disturbance,N/A,night,cloak
5112,2019-12-29,Skeleton,62.0,mountain,arson,knife,day,bones
3802,2021-12-10,Werewolf,55.0,mountain,kidnapping,brute force,night,teeth
2040,2023-08-10,Ghost,45.0,village,arson,pistol,night,potions
7011,2023-02-20,Werewolf,59.0,forest,assault,N/A,night,fur
9790,2021-09-11,Skeleton,25.0,castle,arson,axe,day,bones
5395,2022-06-20,Vampire,58.0,castle,assault,pistol,night,teeth
5944,2021-01-31,Skeleton,62.0,mountain,arson,N/A,day,bones
1139,2020-02-18,Zombie,80.0,swamp,kidnapping,pistol,night,blood
7542,2022-12-24,Zombie,30.0,village,murder,brute force,dusk,fur
9502,2020-10-10,Vampire,89.0,Castle,nightly disturbance,pistol,night,cloak
3347,2023-03-23,Skeleton,32.0,swamp,vandalism,brute force,day,bones
8438,2024-09-08,Werewolf,87.0,swamp,assault,axe,night,bones
9690,2021-03-31,Zombie,11.0,village,kidnapping,knife,dawn,bones
2560,2023-09-01,Werewolf,90.0,forest,kidnapping,N/A,night,bones
2507,2023-04-11,Werewolf,39.0,forest,nightly disturbance,knife,night,teeth
8286,2020-07-26,Witch,68.0,mountain,arson,axe,night,potions
950,2020-10-07,Vampire,33.0,mountain,assault,knife,night,cloak
832,2022-02-10,Ghost,67.0,castle,vandalism,knife,night,cloak
5193,2020-08-27,Vampire,31.0,castle,murder,axe,dusk,blood
1015,2023-06-23,Zombie,26.0,mountain,assault,knife,night,blood
3689,2022-08-17,Witch,62.0,village,arson,knife,dusk,blood
6474,2022-03-01,Zombie,28.0,swamp,kidnapping,N/A,night,blood
3266,2024-05-12,Vampire,64.0,castle,nightly disturbance,axe,night,blood
2630,2020-04-10,WEREWOLF,22.0,mountain,nightly disturbance,pistol,night,teeth
6973,2021-10-05,Ghost,17.0,village,vandalism,N/A,dawn,cloak
4154,2022-10-01,Ghost,44.0,castle,nightly disturbance,knife,night,potions
91,2022-05-15,Ghost,92.0,castle,nightly disturbance,N/A,night,potions
7396,2024-01-05,Vampire,96.0,mountain,assault,knife,night,blood
2487,2023-05-30,Werewolf,80.0,forest,nightly disturbance,pistol,night,teeth
6295,2021-04-02,Ghost,56.0,castle,nightly disturbance,knife,night,potions
9360,2023-10-26,Witch,89.0,village,arson,Knife,night,cloak
2491,2020-03-06,Witch,97.0,swamp,arson,N/A,dusk,bones
6847,2024-06-17,Zombie,53.0,swamp,kidnapping,knife,day,bones
8155,2022-11-20,Skeleton,10.0,castle,arson,axe,dusk,bones
9181,2021-07-26,Ghost,47.0,village,theft,axe,dawn,cloak
6743,2022-11-24,Vampire,55.0,castle,nightly disturbance,N/A,night,cloak
2306,2020-07-17,Werewolf,4.0,forest,assault,knife,night,fur
3378,2022-08-30,Witch,39.0,village,arson,brute force,dusk,teeth
7810,2022-10-29,Skeleton,67.0,mountain,assault,pistol,day,BONES
9528,2020-06-14,Zombie,66.0,swamp,kidnapping,N/A,dusk,potions
3083,2020-06-11,Werewolf,51.0,forest,assault,knife,night,fur
2320,2021-11-10,Zombie,90.0,swamp,assault,brute force,night,teeth
3096,2022-06-21,Skeleton,99.0,mountain,arson,brute force,night,bones
1976,2024-02-07,Ghost,48.0,village,nightly disturbance,axe,night,cloak
3203,2020-08-06,Skeleton,30.0,mountain,arson,brute force,day,bones
8496,2021-03-05,Werewolf,24.0,forest,vandalism,brute force,night,fur
6387,2021-06-16,Skeleton,14.0,castle,assault,axe,night,bones
4712,2023-05-21,Ghost,65.0,village,vandalism,knife,dusk,potions
5140,2022-01-02,Werewolf,48.0,forest,assault,brute force,night,fur
7799,2023-04-17,Werewolf,58.0,forest,assault,axe,night,fur
7351,2022-05-26,Witch,85.0,village,theft,N/A,day,potions
4115,2020-06-02,Skeleton,32.0,mountain,nightly disturbance,pistol,night,bones
6178,2023-08-15,Zombie,25.0,mountain,vandalism,brute force,dawn,bones
6570,2021-09-08,Zombie,22.0,swamp,Kidnapping,N/A,night,potions
5616,2020-02-25,Ghost,11.0,castle,nightly disturbance,brute force,night,potions
1680,2023-08-15,Vampire,20.0,castle,assault,N/A,dusk,cloak
4929,2020-07-23,Zombie,7.0,forest,kidnapping,brute force,dusk,potions
1337,2022-02-03,Witch,54.0,village,arson,knife,dusk,bones
5607,2024-10-03,Vampire,74.0,village,theft,N/A,dawn,teeth
4501,2020-07-10,Skeleton,39.0,castle,nightly disturbance,knife,night,bones
1008,2022-05-28,Skeleton,10.0,mountain,vandalism,brute force,day,cloak
3551,2023-08-20,Werewolf,3.0,forest,assault,knife,dusk,fur
5232,2024-05-24,Werewolf,58.0,mountain,assault,pistol,dusk,teeth
869,2021-01-21,Ghost,68.0,castle,vandalism,pistol,dusk,potions
2272,2020-05-10,Witch,76.0,SWAMP,arson,brute force,day,potions
5935,2022-07-29,Skeleton,44.0,castle,assault,N/A,day,bones
1234,2024-03-30,Witch,8.0,village,kidnapping,knife,day,bones
8411,2021-05-07,Werewolf,27.0,forest,assault,axe,dawn,fur
8868,2022-07-16,Werewolf,71.0,village,kidnapping,knife,night,bones
226,2019-12-08,Zombie,6.0,village,vandalism,brute force,dawn,blood
9249,2024-05-22,Skeleton,10.0,mountain,vandalism,brute force,dawn,bones
538,2022-12-04,Werewolf,82.0,forest,assault,knife,night,fur
9413,2021-10-26,werewolf,72.0,forest,assault,N/A,night,teeth
1029,2024-08-08,Zombie,54.0,mountain,kidnapping,N/A,dusk,teeth
4552,2023-09-23,Ghost,69.0,village,vandalism,N/A,dusk,cloak
9958,2022-07-23,Werewolf,20.0,forest,assault,knife,night,fur
5008,2024-04-11,Ghost,20.0,village,vandalism,N/A,night,potions
3182,2020-06-09,Zombie,72.0,swamp,kidnapping,axe,dusk,potions
3792,2024-07-31,Skeleton,97.0,mountain,nightly disturbance,N/A,night,bones
8226,2023-03-02,Werewolf,14.0,forest,nightly disturbance,brute force,night,teeth
5632,2023-08-25,Witch,47.0,forest,kidnapping,pistol,day,potions
7864,2022-04-24,Zombie,86.0,mountain,kidnapping,N/A,dawn,blood
5313,2021-02-02,Werewolf,90.0,mountain,vandalism,brute force,dusk,fur
2220,2021-12-25,Vampire,37.0,forest,theft,brute force,night,teeth
5990,2019-11-18,Skeleton,44.0,mountain,arson,brute force,day,bones
9430,2021-11-19,Vampire,71.0,castle,assault,axe,dawn,blood
6415,2021-06-06,Werewolf,15.0,swamp,nightly disturbance,brute force,night,teeth
4205,2022-03-27,Zombie,21.0,mountain,kidnapping,N/A,day,bones
5297,2022-02-23,Zombie,53.0,swamp,kidnapping,N/A,night,blood
2163,2020-12-07,Werewolf,80.0,swamp,kidnapping,axe,night,fur
9055,2024-09-18,Ghost,92.0,forest,nightly disturbance,knife,night,cloak
6856,2020-04-03,Zombie,2.0,mountain,murder,axe,dusk,fur
6826,2020-07-31,Werewolf,49.0,FOREST,nightly disturbance,brute force,night,fur
6465,2024-04-17,Skeleton,57.0,castle,vandalism,brute force,dusk,bones
4388,2020-12-26,Werewolf,4.0,forest,vandalism,N/A,night,blood
858,2024-10-29,Ghost,44.0,castle,vandalism,knife,night,potions
9756,2023-07-22,Vampire,92.0,castle,nightly disturbance,N/A,night,BLOOD
9392,2022-04-11,Zombie,83.0,mountain,assault,knife,night,blood
5967,2023-02-27,Werewolf,75.0,village,assault,pistol,dusk,fur
8381,2023-12-23,Zombie,13.0,swamp,kidnapping,pistol,dusk,teeth
8172,2020-08-01,Ghost,86.0,village,vandalism,pistol,dusk,cloak
3477,2021-02-11,Vampire,79.0,village,theft,knife,dusk,blood
4925,2023-01-04,Vampire,43.0,castle,nightly disturbance,N/A,night,cloak
1809,2024-04-01,Vampire,30.0,village,assault,N/A,night,cloak
2439,2021-02-23,Zombie,64.0,swamp,murder,knife,night,fur
6736,2020-07-08,Vampire,56.0,castle,nightly disturbance,brute force,night,cloak
6048,2023-11-19,Werewolf,2.0,village,assault,brute force,dusk,bones
5780,2022-09-02,Witch,19.0,village,arson,N/A,dusk,cloak
2607,2023-12-30,Zombie,9.0,swamp,assault,knife,dusk,blood
7657,2019-12-22,Werewolf,11.0,forest,assault,N/A,day,blood
4986,2023-10-25,Witch,44.0,village,arson,N/A,day,cloak
5455,2023-01-11,Werewolf,46.0,swamp,kidnapping,axe,night,fur
7634,2022-02-23,Werewolf,12.0,mountain,vandalism,axe,night,teeth
5887,2021-12-23,Zombie,39.0,swamp,VANDALISM,N/A,night,potions
4335,2020-06-19,Skeleton,36.0,castle,arson,KNIFE,dusk,bones
6087,2021-05-01,Vampire,80.0,castle,nightly disturbance,knife,night,cloak
4564,2020-04-29,Werewolf,93.0,forest,assault,axe,dusk,Fur
6441,2024-03-23,Ghost,1.0,Village,arson,brute force,night,cloak
5621,2021-11-06,Zombie,99.0,mountain,assault,N/A,dawn,bones
7704,2023-05-14,Vampire,80.0,castle,assault,axe,dusk,teeth
8708,2024-04-17,Skeleton,62.0,castle,vandalism,N/A,day,bones
9742,2020-03-27,Skeleton,28.0,castle,arson,N/A,day,bones
1923,2021-04-04,Ghost,20.0,castle,vandalism,pistol,dawn,cloak
7963,2020-07-31,Skeleton,57.0,castle,assault,brute force,night,bones
8955,2024-04-18,Skeleton,67.0,castle,nightly disturbance,brute force,night,cloak
4714,2024-07-04,Witch,16.0,swamp,kidnapping,N/A,day,teeth
9445,2022-10-12,Zombie,89.0,village,kidnapping,brute force,NIGHT,teeth
5020,2021-11-30,Witch,81.0,swamp,kidnapping,N/A,day,potions
5468,2024-05-11,Ghost,41.0,castle,vandalism,knife,night,potions
3632,2024-01-21,Witch,42.0,swamp,arson,N/A,dusk,teeth
7605,2023-05-14,Werewolf,82.0,mountain,kidnapping,N/A,night,bones
2763,2021-11-23,Zombie,87.0,SWAMP,assault,brute force,night,potions
4041,2022-11-20,Skeleton,87.0,mountain,vandalism,pistol,dusk,bones
5516,2024-03-13,Vampire,84.0,mountain,murder,pistol,dusk,cloak
4444,2020-05-07,Vampire,2.0,mountain,assault,axe,dusk,teeth
3124,2023-06-08,Skeleton,17.0,swamp,arson,axe,day,cloak
201,2023-11-11,Vampire,93.0,castle,assault,brute force,dusk,blood
6902,2024-05-07,Zombie,72.0,swamp,murder,knife,dawn,fur
4692,2023-10-06,Zombie,93.0,swamp,murder,axe,dawn,bones
4880,2021-10-08,Witch,80.0,village,arson,knife,dusk,cloak
3181,2020-08-06,Skeleton,11.0,mountain,nightly disturbance,knife,night,BONES
9448,2024-03-12,Ghost,94.0,village,nightly disturbance,knife,night,potions
1589,2021-12-25,Zombie,88.0,mountain,murder,N/A,dusk,potions
2629,2021-08-17,Ghost,76.0,castle,nightly disturbance,N/A,night,potions
4349,2021-01-19,Ghost,92.0,village,vandalism,knife,night,potions
4056,2020-03-19,Skeleton,6.0,mountain,vandalism,knife,day,bones
5895,2024-10-29,Werewolf,22.0,village,assault,knife,night,teeth
4307,2024-07-15,Vampire,50.0,castle,assault,brute force,night,cloak
6768,2023-01-03,Witch,4.0,swamp,arson,knife,dusk,cloak
2915,2021-06-15,Vampire,59.0,mountain,assault,axe,night,blood
7759,2022-04-12,Vampire,74.0,mountain,nightly disturbance,knife,night,teeth
3509,2023-12-24,Skeleton,77.0,mountain,nightly disturbance,brute force,night,bones
6850,2022-11-06,Witch,20.0,swamp,kidnapping,N/A,dawn,cloak
4055,2023-09-17,Vampire,34.0,forest,assault,axe,night,blood
851,2022-07-02,Vampire,62.0,castle,assault,knife,dawn,teeth
6207,2022-11-30,Witch,64.0,village,theft,axe,day,teeth
1527,2024-09-20,Witch,31.0,swamp,arson,N/A,night,cloak
2917,2024-09-02,Skeleton,35.0,mountain,vandalism,axe,night,bones
7601,2020-10-07,Zombie,10.0,swamp,assault,knife,dawn,potions
5845,2020-12-13,Werewolf,67.0,forest,vandalism,pistol,dusk,fur
5908,2023-09-19,Skeleton,40.0,mountain,nightly disturbance,N/A,night,bones
1121,2024-02-02,Witch,3.0,village,arson,knife,dusk,cloak
5440,2022-10-30,Ghost,57.0,castle,nightly disturbance,pistol,night,cloak
5643,2022-12-02,Vampire,72.0,castle,assault,knife,night,teeth
1672,2024-05-03,Skeleton,52.0,forest,assault,knife,day,bones
9683,2023-06-17,Werewolf,13.0,forest,assault,brute force,dawn,fur
5346,2022-04-06,Werewolf,49.0,mountain,nightly disturbance,N/A,night,fur
515,2021-09-12,Witch,17.0,forest,arson,knife,day,fur
1593,2021-02-26,Zombie,81.0,village,kidnapping,pistol,dawn,blood
3948,2024-03-23,Ghost,33.0,castle,vandalism,knife,night,cloak
7490,2021-11-17,Skeleton,14.0,castle,vandalism,axe,night,bones
5921,2020-01-31,Zombie,79.0,mountain,murder,knife,dusk,potions
1454,2020-01-27,Skeleton,42.0,castle,arson,brute force,dawn,cloak
481,2023-07-19,Ghost,9.0,village,vandalism,brute force,dusk,cloak
7612,2020-09-25,Skeleton,34.0,castle,vandalism,brute force,day,bones
5661,2021-01-10,Witch,96.0,village,arson,N/A,dusk,teeth
6324,2020-07-31,Zombie,62.0,swamp,kidnapping,N/A,dawn,teeth
7120,2023-09-27,Zombie,81.0,swamp,kidnapping,knife,Day,potions
2841,2023-11-13,Zombie,63.0,mountain,assault,knife,night,potions
7350,2024-03-05,Witch,90.0,village,arson,pistol,dawn,potions
7169,2022-02-13,Werewolf,5.0,mountain,kidnapping,brute force,night,fur
7947,2021-08-08,Vampire,21.0,village,theft,axe,night,teeth
6356,2024-02-07,Zombie,31.0,swamp,kidnapping,brute force,night,teeth
1265,2022-01-31,Ghost,70.0,village,vandalism,N/A,night,potions
2916,2021-12-24,Werewolf,5.0,mountain,assault,knife,night,teeth
4671,2022-06-20,Skeleton,33.0,castle,vandalism,knife,day,bones
1740,2021-11-27,Werewolf,17.0,forest,assault,pistol,night,bones
1573,2023-08-17,Ghost,68.0,castle,vandalism,knife,night,potions
376,2021-04-25,Zombie,23.0,swamp,kidnapping,pistol,day,potions
652,2023-09-05,Zombie,5.0,swamp,kidnapping,brute force,day,bones
1620,2021-02-12,Ghost,4.0,village,nightly disturbance,N/A,night,potions
8216,2024-04-09,Skeleton,70.0,castle,nightly disturbance,brute force,night,bones
567,2024-05-16,Ghost,82.0,castle,nightly disturbance,N/A,night,potions
7820,2019-11-15,Skeleton,91.0,mountain,arson,knife,day,cloak
5926,2022-09-29,Witch,25.0,village,ASSAULT,brute force,dusk,cloak
5029,2020-03-31,Werewolf,54.0,swamp,assault,pistol,night,bones
4795,2020-06-22,Witch,55.0,village,arson,knife,dusk,potions
2987,2024-06-15,Skeleton,54.0,castle,nightly disturbance,brute force,night,bones
3166,2023-10-31,Zombie,2.0,swamp,kidnapping,N/A,day,bones
9633,2023-08-06,Zombie,19.0,swamp,kidnapping,axe,dawn,fur
9538,2021-04-17,Skeleton,96.0,mountain,assault,brute force,dusk,bones
2224,2024-04-07,Witch,78.0,swamp,arson,pistol,dawn,fur
3731,2020-03-17,Vampire,54.0,castle,assault,knife,night,teeth
989,2022-10-25,Vampire,33.0,castle,nightly disturbance,axe,night,teeth
8992,2021-05-26,Witch,7.0,village,arson,brute force,night,bones
4716,2023-08-24,Zombie,15.0,swamp,kidnapping,brute force,dawn,blood
526,2022-12-21,Ghost,36.0,castle,vandalism,knife,dusk,cloak
1517,2023-08-31,Vampire,2.0,castle,theft,axe,night,blood
4466,2023-09-27,Witch,22.0,mountain,arson,knife,night,teeth
4262,2021-12-02,Witch,92.0,village,arson,brute force,dawn,potions
6139,2020-07-23,Zombie,49.0,mountain,kidnapping,knife,dusk,blood
4465,2023-07-21,Vampire,43.0,castle,nightly disturbance,axe,night,teeth
1025,2023-12-05,Skeleton,24.0,mountain,vandalism,brute force,day,bones
8207,2020-05-05,Ghost,52.0,castle,nightly disturbance,knife,night,cloak
3662,2024-07-14,Ghost,45.0,village,vandalism,pistol,night,potions
1106,2020-11-27,witch,98.0,swamp,arson,pistol,dusk,bones
7913,2021-03-10,Zombie,23.0,swamp,assault,N/A,dawn,blood
2691,2023-01-17,Vampire,94.0,castle,assault,knife,dusk,cloak
4083,2024-09-14,Vampire,96.0,village,nightly disturbance,axe,night,blood
3980,2020-04-04,Ghost,48.0,village,vandalism,knife,night,potions
2662,2023-08-21,Werewolf,53.0,forest,assault,brute force,night,fur
8343,2023-04-14,Zombie,19.0,swamp,murder,N/A,night,bones
