Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
2982,Zombie,Yes,746.0,F,152.0,56.0,9.0,silver,pesto pasta
9142,Witch,Yes,1318.0,F,159.0,12.0,6.0,silver,lasagna
9890,Witch,Yes,380.0,M,176.0,20.0,4.0,hazelnut,pesto pasta
3316,Zombie,No,2849.0,F,180.0,26.0,2.0,sunlight,brain
4586,Witch,No,26.0,F,191.0,51.0,7.0,SILVER,brain
3130,Werewolf,No,1.0,M,173.0,63.0,2.0,cat hair,brain
1725,Werewolf,No,480.0,F,162.0,30.0,10.0,garlic,rats
3655,Werewolf,No,508.0,F,157.0,26.0,3.0,garlic,rats
9215,Skeleton,No,2291.0,F,150.0,36.0,8.0,sunlight,brain
2676,Werewolf,Yes,92.0,M,189.0,65.0,5.0,cat hair,pesto pasta
1981,Zombie,No,1768.0,F,188.0,76.0,4.0,sunlight,lasagna
7104,Zombie,No,350.0,M,193.0,22.0,5.0,garlic,rats
9830,Zombie,No,854.0,F,169.0,34.0,7.0,garlic,pesto pasta
8376,Witch,No,473.0,M,193.0,19.0,7.0,garlic,brain
3078,Ghost,Yes,1727.0,M,174.0,30.0,1.0,hazelnut,humans
8020,Ghost,Yes,1124.0,F,185.0,25.0,2.0,hazelnut,humans
9940,Ghost,No,80.0,M,180.0,70.0,6.0,hazelnut,pesto pasta
2733,Werewolf,Yes,623.0,M,187.0,21.0,5.0,silver,Rats
5861,Witch,Yes,1620.0,F,194.0,31.0,9.0,silver,humans
1564,Skeleton,No,50.0,M,173.0,17.0,1.0,cat hair,rats
7720,Werewolf,Yes,1662.0,M,194.0,52.0,1.0,sunlight,humans
3600,Skeleton,No,190.0,F,153.0,100.0,1.0,cat hair,rats
3532,Vampire,Yes,311.0,F,165.0,25.0,4.0,hazelnut,pesto pasta
2288,Werewolf,Yes,629.0,M,184.0,17.0,8.0,silver,humans
2047,Skeleton,No,1.0,F,183.0,6.0,7.0,silver,humans
4475,Skeleton,No,1884.0,F,150.0,77.0,10.0,sunlight,lasagna
1454,Witch,No,1134.0,M,170.0,31.0,8.0,silver,pesto pasta
1011,Witch,No,2060.0,M,168.0,9.0,5.0,silver,pesto pasta
204,Vampire,Yes,172.0,F,191.0,35.0,3.0,silver,brain
7349,Ghost,No,501.0,M,163.0,25.0,2.0,silver,pesto pasta
9968,Werewolf,No,140.0,M,188.0,26.0,7.0,sunlight,brain
8769,Werewolf,No,130.0,M,194.0,90.0,6.0,hazelnut,brain
9399,Ghost,No,491.0,M,178.0,44.0,7.0,silver,humans
4588,Zombie,No,62.0,F,194.0,76.0,7.0,silver,brain
916,Vampire,No,260.0,F,159.0,44.0,8.0,silver,pesto pasta
8064,Werewolf,No,404.0,F,162.0,51.0,7.0,sunlight,humans
8447,Witch,Yes,574.0,F,168.0,30.0,7.0,hazelnut,brain
6254,Ghost,Yes,2898.0,F,152.0,57.0,5.0,sunlight,rats
8820,Werewolf,Yes,79.0,M,171.0,41.0,3.0,silver,lasagna
9995,Werewolf,Yes,2220.0,M,169.0,26.0,1.0,silver,pesto pasta
7437,Vampire,Yes,1627.0,F,195.0,30.0,5.0,silver,rats
2947,Werewolf,Yes,428.0,F,166.0,14.0,3.0,hazelnut,brain
2716,Ghost,No,2190.0,M,152.0,90.0,10.0,silver,pesto pasta
320,Witch,Yes,392.0,M,170.0,21.0,2.0,hazelnut,pesto pasta
7314,Zombie,Yes,368.0,F,156.0,52.0,6.0,sunlight,humans
5262,Zombie,Yes,94.0,M,175.0,8.0,7.0,cat hair,brain
3973,Vampire,No,111.0,M,159.0,69.0,7.0,silver,rats
8071,Witch,Yes,993.0,M,151.0,33.0,2.0,silver,pesto pasta
2621,Skeleton,Yes,255.0,M,181.0,21.0,4.0,hazelnut,brain
2647,Zombie,No,122.0,F,196.0,38.0,6.0,hazelnut,lasagna
9447,Vampire,Yes,355.0,F,164.0,12.0,2.0,hazelnut,pesto pasta
3606,Werewolf,No,465.0,M,175.0,15.0,3.0,garlic,lasagna
7657,Zombie,Yes,90.0,F,196.0,58.0,1.0,cat hair,rats
7403,Werewolf,No,139.0,M,168.0,9.0,2.0,cat hair,pesto pasta
9789,Vampire,Yes,910.0,M,161.0,16.0,9.0,pumpkin,pesto pasta
2510,Witch,Yes,63.0,F,197.0,10.0,1.0,sunlight,rats
9866,Ghost,Yes,1015.0,M,178.0,37.0,7.0,cat hair,pesto pasta
4905,Skeleton,Yes,145.0,M,162.0,35.0,7.0,hazelnut,rats
2960,Zombie,No,117.0,F,150.0,54.0,6.0,silver,lasagna
5357,Ghost,No,463.0,F,182.0,39.0,5.0,sunlight,rats
6590,Zombie,Yes,291.0,F,176.0,51.0,8.0,sunlight,lasagna
4574,Skeleton,Yes,1660.0,M,182.0,1.0,6.0,silver,lasagna
164,Vampire,No,111.0,M,186.0,9.0,1.0,cat hair,humans
7605,Zombie,Yes,168.0,F,157.0,74.0,6.0,hazelnut,brain
268,Zombie,No,103.0,F,193.0,37.0,7.0,cat hair,humans
4877,Zombie,Yes,1.0,F,150.0,15.0,7.0,sunlight,brain
7224,Ghost,Yes,402.0,F,162.0,21.0,8.0,pumpkin,pesto pasta
9859,Ghost,No,486.0,F,180.0,20.0,4.0,hazelnut,brain
9290,Vampire,Yes,566.0,M,192.0,48.0,6.0,silver,brain
3847,Ghost,No,135.0,F,193.0,95.0,7.0,sunlight,lasagna
2869,Vampire,Yes,1163.0,F,150.0,47.0,7.0,silver,brain
9614,Skeleton,Yes,6.0,F,152.0,22.0,10.0,garlic,brain
9062,Zombie,Yes,324.0,F,199.0,20.0,2.0,hazelnut,brain
1535,Zombie,Yes,146.0,M,187.0,73.0,8.0,garlic,humans
4075,Werewolf,Yes,105.0,F,165.0,15.0,5.0,Sunlight,humans
1856,Witch,No,1.0,F,169.0,100.0,2.0,sunlight,humans
1870,Witch,No,312.0,F,173.0,41.0,1.0,silver,pesto pasta
349,Vampire,Yes,102.0,F,172.0,19.0,4.0,garlic,lasagna
8330,Vampire,Yes,531.0,M,156.0,15.0,5.0,garlic,brain
3509,Ghost,Yes,294.0,M,183.0,14.0,10.0,garlic,brain
908,Zombie,Yes,600.0,F,188.0,59.0,9.0,silver,brain
7297,Werewolf,No,22.0,M,198.0,58.0,6.0,hazelnut,brain
2589,Skeleton,Yes,91.0,F,160.0,14.0,4.0,garlic,brain
9017,Ghost,Yes,630.0,M,188.0,44.0,3.0,sunlight,lasagna
9260,Skeleton,No,931.0,F,198.0,51.0,10.0,garlic,rats
6059,Witch,No,592.0,F,189.0,3.0,2.0,hazelnut,rats
3515,Skeleton,No,647.0,M,177.0,18.0,7.0,garlic,lasagna
3049,Witch,Yes,546.0,F,191.0,43.0,6.0,garlic,rats
7031,Witch,Yes,440.0,F,189.0,16.0,1.0,hazelnut,HUMANS
2380,Skeleton,Yes,504.0,F,191.0,52.0,7.0,garlic,rats
6622,Vampire,Yes,2307.0,F,172.0,9.0,9.0,pumpkin,humans
6809,Witch,No,983.0,F,191.0,70.0,9.0,sunlight,brain
6190,Werewolf,Yes,593.0,F,175.0,11.0,7.0,hazelnut,rats
7627,Werewolf,Yes,1026.0,M,194.0,28.0,9.0,silver,pesto pasta
2203,Vampire,No,116.0,M,151.0,12.0,4.0,cat hair,rats
5251,Witch,No,411.0,F,168.0,22.0,4.0,hazelnut,brain
895,Werewolf,Yes,2185.0,F,199.0,59.0,3.0,silver,brain
7186,Vampire,No,51.0,M,189.0,100.0,6.0,hazelnut,humans
5439,Zombie,No,567.0,F,169.0,64.0,6.0,pumpkin,rats
3288,Zombie,No,36.0,F,189.0,11.0,7.0,cat hair,brain
9392,Werewolf,No,39.0,F,165.0,15.0,2.0,cat hair,lasagna
8047,Vampire,No,1721.0,M,154.0,1.0,8.0,silver,lasagna
9784,Witch,No,292.0,M,163.0,51.0,2.0,sunlight,brain
7575,Werewolf,Yes,1312.0,F,163.0,40.0,10.0,silver,lasagna
4906,Witch,Yes,213.0,M,165.0,44.0,7.0,garlic,brain
3473,Vampire,No,291.0,F,172.0,22.0,1.0,hazelnut,rats
5071,Werewolf,Yes,2418.0,M,164.0,71.0,3.0,sunlight,brain
3024,Skeleton,No,147.0,M,199.0,33.0,1.0,garlic,Rats
3026,Zombie,No,95.0,M,196.0,62.0,8.0,silver,humans
5872,Ghost,No,49.0,M,170.0,20.0,4.0,pumpkin,pesto pasta
5402,Werewolf,No,690.0,M,181.0,16.0,2.0,silver,brain
1172,Witch,Yes,1.0,M,197.0,12.0,5.0,sunlight,pesto pasta
7634,Vampire,Yes,96.0,F,188.0,59.0,7.0,hazelnut,pesto pasta
9297,Zombie,No,426.0,F,152.0,25.0,7.0,pumpkin,rats
2987,Ghost,Yes,7.0,F,187.0,43.0,4.0,garlic,pesto pasta
88,Ghost,No,1.0,M,171.0,40.0,3.0,garlic,pesto pasta
5731,Skeleton,Yes,449.0,M,163.0,25.0,6.0,silver,lasagna
3470,Witch,No,553.0,F,173.0,26.0,1.0,hazelnut,pesto pasta
7690,Skeleton,Yes,417.0,M,183.0,38.0,9.0,silver,brain
1183,Zombie,No,165.0,F,185.0,48.0,8.0,garlic,brain
5338,Werewolf,No,678.0,M,195.0,26.0,2.0,hazelnut,brain
6411,Skeleton,Yes,1217.0,F,179.0,22.0,3.0,silver,lasagna
5963,Witch,Yes,90.0,M,158.0,13.0,10.0,silver,brain
2861,Werewolf,No,1884.0,F,174.0,17.0,3.0,silver,rats
369,Skeleton,No,864.0,M,197.0,10.0,5.0,hazelnut,brain
440,Ghost,Yes,107.0,F,166.0,45.0,5.0,silver,brain
8571,Werewolf,Yes,127.0,F,193.0,13.0,9.0,sunlight,humans
9171,Skeleton,No,1177.0,F,179.0,32.0,2.0,pumpkin,humans
2213,Werewolf,No,817.0,M,191.0,73.0,3.0,pumpkin,lasagna
6638,Vampire,No,167.0,M,157.0,12.0,8.0,hazelnut,rats
6375,Ghost,No,336.0,F,185.0,34.0,3.0,sunlight,rats
1684,Ghost,No,261.0,M,157.0,21.0,1.0,pumpkin,rats
7332,Witch,Yes,601.0,M,174.0,18.0,5.0,silver,rats
7373,Werewolf,No,141.0,M,192.0,16.0,3.0,cat hair,brain
705,Ghost,No,1115.0,M,180.0,26.0,4.0,silver,pesto pasta
6471,Skeleton,Yes,554.0,M,153.0,21.0,5.0,hazelnut,lasagna
4374,Ghost,No,1787.0,F,192.0,22.0,2.0,sunlight,pesto pasta
6026,Werewolf,Yes,179.0,M,172.0,79.0,7.0,cat hair,lasagna
9493,Zombie,Yes,3372.0,M,154.0,34.0,6.0,sunlight,pesto pasta
5483,Vampire,No,495.0,F,198.0,44.0,2.0,sunlight,humans
3426,Zombie,No,356.0,F,194.0,18.0,9.0,hazelnut,lasagna
6495,Ghost,Yes,621.0,F,184.0,30.0,6.0,GARLIC,humans
9252,Zombie,Yes,527.0,F,176.0,13.0,4.0,silver,brain
5661,Werewolf,Yes,264.0,M,157.0,17.0,2.0,silver,brain
7579,Werewolf,Yes,285.0,M,198.0,30.0,7.0,garlic,brain
6920,Zombie,No,363.0,M,177.0,18.0,8.0,hazelnut,pesto pasta
9318,Witch,Yes,855.0,F,195.0,20.0,5.0,silver,lasagna
7535,Vampire,Yes,1177.0,M,150.0,13.0,7.0,garlic,pesto pasta
203,Zombie,Yes,1341.0,M,151.0,28.0,10.0,silver,lasagna
2850,Vampire,Yes,434.0,M,177.0,37.0,6.0,garlic,rats
3870,Ghost,Yes,538.0,M,197.0,38.0,3.0,sunlight,brain
354,Ghost,No,545.0,M,164.0,21.0,4.0,garlic,humans
4005,Ghost,Yes,1621.0,F,153.0,42.0,4.0,silver,rats
3679,Werewolf,No,484.0,F,170.0,23.0,1.0,silver,humans
1645,Witch,Yes,552.0,F,159.0,27.0,6.0,silver,rats
8842,Werewolf,No,1.0,F,194.0,21.0,1.0,silver,rats
3310,Witch,No,316.0,F,182.0,13.0,4.0,pumpkin,brain
4002,Witch,Yes,1033.0,F,166.0,62.0,8.0,silver,humans
6618,Werewolf,No,799.0,F,164.0,75.0,7.0,sunlight,humans
1745,Zombie,Yes,1229.0,M,185.0,57.0,1.0,pumpkin,pesto pasta
3374,Vampire,No,298.0,F,169.0,40.0,7.0,silver,lasagna
9028,Skeleton,Yes,1967.0,M,178.0,35.0,2.0,sunlight,pesto pasta
2924,Zombie,Yes,875.0,M,196.0,14.0,1.0,pumpkin,rats
4774,Vampire,Yes,104.0,F,178.0,16.0,5.0,cat hair,pesto pasta
7837,Vampire,Yes,1325.0,M,162.0,78.0,8.0,silver,rats
963,Vampire,NO,327.0,M,172.0,35.0,4.0,sunlight,brain
7315,Skeleton,No,387.0,M,157.0,44.0,4.0,sunlight,brain
329,Zombie,No,464.0,M,169.0,16.0,9.0,hazelnut,brain
8777,Werewolf,No,28.0,M,179.0,90.0,6.0,hazelnut,brain
3912,Zombie,Yes,272.0,M,159.0,27.0,1.0,sunlight,brain
3979,Werewolf,Yes,542.0,M,150.0,24.0,8.0,garlic,pesto pasta
1270,Vampire,Yes,181.0,M,159.0,30.0,7.0,hazelnut,pesto pasta
996,Ghost,No,101.0,M,164.0,15.0,8.0,cat hair,lasagna
9333,Skeleton,Yes,103.0,F,174.0,89.0,4.0,silver,rats
6794,Witch,No,1842.0,F,197.0,15.0,1.0,sunlight,brain
3329,Witch,No,894.0,M,157.0,30.0,6.0,silver,humans
9368,Zombie,Yes,166.0,F,188.0,20.0,4.0,silver,rats
5567,Zombie,No,157.0,M,157.0,22.0,4.0,sunlight,rats
9003,Vampire,Yes,150.0,M,162.0,1.0,5.0,pumpkin,humans
2835,Zombie,Yes,119.0,F,180.0,99.0,7.0,silver,pesto pasta
5618,Skeleton,Yes,80.0,F,182.0,75.0,6.0,sunlight,lasagna
5999,Zombie,No,99.0,F,171.0,9.0,10.0,silver,pesto pasta
1623,Skeleton,No,240.0,M,177.0,42.0,9.0,silver,lasagna
6633,Vampire,No,1009.0,F,155.0,44.0,10.0,silver,humans
1472,Witch,No,182.0,F,165.0,43.0,4.0,sunlight,PESTO PASTA
7094,Ghost,Yes,123.0,F,191.0,90.0,6.0,cat hair,pesto pasta
7143,Werewolf,Yes,226.0,F,161.0,30.0,6.0,silver,lasagna
1244,Zombie,No,594.0,F,161.0,49.0,4.0,garlic,rats
3749,Vampire,No,55.0,F,183.0,17.0,4.0,garlic,Pesto pasta
3055,Witch,No,2245.0,M,167.0,12.0,4.0,silver,lasagna
4829,Werewolf,Yes,60.0,F,178.0,19.0,5.0,garlic,humans
2042,Vampire,No,285.0,M,171.0,8.0,6.0,hazelnut,pesto pasta
5228,Werewolf,Yes,41.0,M,175.0,52.0,5.0,silver,rats
7723,Skeleton,Yes,652.0,F,168.0,28.0,1.0,hazelnut,pesto pasta
1797,Vampire,Yes,55.0,M,189.0,20.0,2.0,hazelnut,humans
1741,Ghost,No,1670.0,M,168.0,32.0,3.0,silver,humans
9320,Ghost,Yes,467.0,F,193.0,24.0,1.0,silver,humans
7897,Ghost,No,567.0,M,160.0,63.0,9.0,garlic,brain
3025,Ghost,Yes,84.0,M,165.0,14.0,5.0,garlic,rats
6673,Werewolf,No,2141.0,F,165.0,23.0,4.0,sunlight,rats
4817,Werewolf,No,120.0,M,163.0,12.0,5.0,garlic,brain
4891,Werewolf,No,231.0,M,150.0,22.0,8.0,silver,pesto pasta
4784,Ghost,Yes,288.0,F,162.0,25.0,1.0,Hazelnut,humans
6892,Ghost,No,403.0,M,168.0,48.0,8.0,garlic,lasagna
1846,Skeleton,Yes,515.0,M,177.0,36.0,7.0,garlic,pesto pasta
5087,Werewolf,No,1683.0,M,162.0,43.0,1.0,sunlight,humans
1874,Vampire,Yes,101.0,F,187.0,17.0,3.0,sunlight,brain
3790,Vampire,Yes,10.0,M,153.0,6.0,4.0,cat hair,brain
8518,Zombie,No,96.0,F,185.0,19.0,5.0,silver,pesto pasta
7947,Vampire,Yes,133.0,F,198.0,29.0,5.0,garlic,pesto pasta
2504,Ghost,No,1630.0,M,183.0,30.0,3.0,pumpkin,brain
7293,Werewolf,No,1106.0,M,197.0,33.0,8.0,silver,lasagna
5353,Skeleton,Yes,658.0,M,168.0,11.0,5.0,silver,pesto pasta
3857,Werewolf,No,125.0,F,164.0,12.0,9.0,garlic,humans
7592,Skeleton,Yes,155.0,M,179.0,76.0,6.0,silver,humans
9103,Vampire,Yes,71.0,F,193.0,83.0,7.0,hazelnut,lasagna
7691,Werewolf,No,276.0,F,174.0,14.0,3.0,hazelnut,humans
2455,Zombie,No,598.0,F,188.0,32.0,2.0,garlic,lasagna
2309,Skeleton,Yes,1207.0,M,188.0,11.0,2.0,silver,lasagna
2368,Skeleton,Yes,582.0,M,164.0,45.0,3.0,garlic,rats
8583,Vampire,No,51.0,M,151.0,44.0,7.0,Silver,rats
1242,Werewolf,Yes,454.0,M,170.0,23.0,4.0,hazelnut,brain
1037,Werewolf,No,31.0,F,194.0,15.0,6.0,cat hair,lasagna
738,Werewolf,Yes,476.0,M,168.0,44.0,6.0,silver,brain
9795,Werewolf,No,34.0,F,189.0,57.0,7.0,silver,humans
664,Skeleton,No,1.0,F,182.0,12.0,1.0,cat hair,brain
2017,Skeleton,No,81.0,M,192.0,72.0,8.0,hazelnut,rats
7045,Werewolf,No,691.0,F,194.0,47.0,8.0,sunlight,brain
1500,Zombie,Yes,20.0,F,172.0,9.0,10.0,sunlight,lasagna
2845,SKELETON,No,13.0,M,197.0,21.0,2.0,garlic,humans
391,Witch,Yes,53.0,m,162.0,65.0,8.0,silver,lasagna
8872,Skeleton,Yes,105.0,F,176.0,15.0,5.0,garlic,pesto pasta
5120,Witch,Yes,403.0,M,174.0,18.0,7.0,hazelnut,humans
1505,Skeleton,Yes,60.0,M,196.0,15.0,7.0,cat hair,brain
2000,Witch,Yes,886.0,F,150.0,29.0,10.0,pumpkin,brain
9912,Zombie,No,1.0,M,182.0,79.0,2.0,silver,lasagna
8168,Zombie,No,1486.0,M,178.0,12.0,4.0,silver,brain
3794,Witch,Yes,371.0,M,196.0,28.0,4.0,garlic,lasagna
2868,Ghost,Yes,100.0,F,197.0,80.0,5.0,silver,humans
3016,Zombie,Yes,194.0,M,196.0,42.0,8.0,cat hair,pesto pasta
2524,Skeleton,Yes,64.0,F,179.0,58.0,7.0,hazelnut,humans
2487,Zombie,No,51.0,F,195.0,100.0,8.0,silver,humans
6822,Witch,No,866.0,M,174.0,14.0,8.0,silver,rats
6816,Vampire,No,13.0,F,176.0,62.0,3.0,silver,humans
4373,Ghost,No,1784.0,F,169.0,13.0,2.0,sunlight,brain
9868,Skeleton,Yes,224.0,F,166.0,18.0,7.0,garlic,lasagna
1304,Werewolf,Yes,644.0,M,183.0,52.0,7.0,garlic,brain
6256,Ghost,Yes,115.0,M,182.0,13.0,4.0,cat hair,humans
707,Zombie,No,105.0,F,171.0,25.0,3.0,silver,brain
3944,ghost,Yes,454.0,F,181.0,1.0,8.0,silver,brain
6645,Werewolf,Yes,537.0,F,168.0,31.0,5.0,sunlight,pesto pasta
1102,Ghost,Yes,41.0,M,165.0,62.0,9.0,cat hair,pesto pasta
3810,Vampire,Yes,460.0,F,180.0,41.0,8.0,sunlight,humans
3006,Werewolf,No,48.0,F,180.0,47.0,9.0,silver,lasagna
592,Vampire,No,568.0,F,175.0,21.0,1.0,hazelnut,rats
416,Vampire,Yes,128.0,F,175.0,77.0,6.0,hazelnut,rats
7824,Werewolf,Yes,142.0,M,175.0,89.0,7.0,cat hair,pesto pasta
5377,Skeleton,No,374.0,F,197.0,31.0,9.0,silver,rats
4194,Werewolf,No,426.0,F,175.0,42.0,8.0,silver,lasagna
8237,Skeleton,No,105.0,M,172.0,89.0,2.0,hazelnut,rats
8878,Zombie,Yes,112.0,F,175.0,42.0,7.0,Sunlight,lasagna
1867,Skeleton,No,296.0,M,160.0,22.0,7.0,garlic,humans
9832,Vampire,No,126.0,F,159.0,49.0,9.0,silver,brain
73,Skeleton,Yes,474.0,M,168.0,12.0,2.0,garlic,RATS
2536,Zombie,Yes,122.0,F,185.0,21.0,5.0,cat hair,pesto pasta
9063,Vampire,No,490.0,M,168.0,44.0,6.0,silver,humans
2518,Witch,Yes,558.0,M,181.0,24.0,2.0,hazelnut,lasagna
121,Vampire,Yes,220.0,F,187.0,24.0,8.0,sunlight,rats
6128,Skeleton,Yes,1640.0,F,197.0,18.0,3.0,pumpkin,rats
516,Ghost,No,875.0,M,155.0,44.0,2.0,pumpkin,pesto pasta
4565,Witch,Yes,74.0,F,180.0,17.0,8.0,sunlight,brain
528,Vampire,No,461.0,F,151.0,15.0,4.0,hazelnut,humans
4400,Skeleton,No,153.0,M,198.0,2.0,4.0,silver,humans
5392,SKELETON,Yes,400.0,F,189.0,84.0,10.0,sunlight,humans
4740,Witch,Yes,1142.0,F,186.0,46.0,3.0,sunlight,rats
7861,Vampire,Yes,116.0,M,162.0,47.0,7.0,silver,lasagna
5345,Vampire,Yes,2014.0,M,187.0,13.0,8.0,silver,lasagna
3144,Skeleton,No,50.0,M,170.0,78.0,2.0,silver,rats
9759,Ghost,No,1274.0,M,191.0,26.0,6.0,silver,brain
1506,Witch,No,43.0,M,182.0,18.0,9.0,sunlight,brain
2598,Ghost,Yes,208.0,F,173.0,22.0,6.0,silver,rats
8764,Werewolf,Yes,1101.0,F,194.0,83.0,1.0,pumpkin,lasagna
4731,Skeleton,No,389.0,M,155.0,28.0,10.0,silver,brain
4696,Vampire,Yes,490.0,F,173.0,22.0,1.0,hazelnut,pesto pasta
5851,Zombie,No,637.0,M,167.0,32.0,1.0,silver,brain
1606,Witch,No,372.0,F,158.0,34.0,4.0,silver,lasagna
4247,Skeleton,No,265.0,M,160.0,18.0,3.0,hazelnut,pesto pasta
7717,Werewolf,Yes,149.0,M,199.0,86.0,6.0,cat hair,humans
749,Vampire,No,1.0,F,188.0,32.0,5.0,cat hair,lasagna
6551,Vampire,Yes,1478.0,M,199.0,9.0,6.0,silver,lasagna
2697,Vampire,No,1779.0,F,190.0,60.0,10.0,sunlight,rats
4663,Witch,No,97.0,F,184.0,14.0,10.0,sunlight,lasagna
3196,ghost,No,95.0,M,199.0,19.0,2.0,pumpkin,brain
5181,Witch,Yes,131.0,M,182.0,7.0,4.0,garlic,brain
2970,Ghost,No,4614.0,M,155.0,68.0,3.0,pumpkin,lasagna
1919,Vampire,Yes,97.0,F,186.0,100.0,7.0,cat hair,pesto pasta
6290,Vampire,Yes,404.0,M,192.0,27.0,2.0,hazelnut,lasagna
7957,Vampire,No,277.0,F,169.0,26.0,4.0,silver,pesto pasta
3546,Vampire,Yes,2181.0,F,169.0,28.0,9.0,cat hair,rats
8473,Vampire,Yes,5.0,M,187.0,10.0,3.0,hazelnut,humans
9431,Witch,No,550.0,F,186.0,43.0,9.0,garlic,humans
2140,Ghost,Yes,730.0,F,176.0,34.0,7.0,silver,rats
575,Vampire,No,56.0,M,177.0,20.0,5.0,garlic,pesto pasta
6133,Skeleton,Yes,303.0,F,173.0,33.0,5.0,silver,rats
3159,Witch,Yes,841.0,M,186.0,51.0,8.0,garlic,pesto pasta
1342,Zombie,No,90.0,F,175.0,88.0,6.0,silver,pesto pasta
5047,Werewolf,Yes,154.0,M,158.0,77.0,8.0,hazelnut,rats
5574,Ghost,No,146.0,M,153.0,85.0,9.0,Cat hair,humans
3337,Werewolf,No,441.0,M,166.0,19.0,1.0,hazelnut,brain
7498,Zombie,No,271.0,F,172.0,56.0,8.0,garlic,lasagna
3808,Vampire,No,705.0,M,157.0,36.0,2.0,sunlight,humans
8145,Ghost,No,406.0,M,186.0,1.0,9.0,silver,rats
3608,Skeleton,Yes,719.0,M,187.0,17.0,9.0,silver,rats
8613,Skeleton,No,86.0,M,191.0,18.0,6.0,garlic,rats
3930,Witch,Yes,59.0,M,182.0,67.0,7.0,silver,rats
8341,Ghost,No,25.0,M,184.0,66.0,7.0,sunlight,pesto pasta
2804,Vampire,Yes,1338.0,M,175.0,34.0,9.0,pumpkin,pesto pasta
4801,Zombie,No,186.0,M,172.0,53.0,2.0,hazelnut,pesto pasta
8478,Zombie,No,550.0,F,151.0,26.0,8.0,Hazelnut,humans
8951,Vampire,Yes,151.0,M,166.0,21.0,2.0,hazelnut,pesto pasta
1237,Werewolf,No,462.0,M,156.0,52.0,7.0,sunlight,rats
