Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
9851,2023-06-02,vampire,14.0,mountain,nightly disturbance,,night,cloak,9851,vampire,no,703.0,m,188.0,28.0,7.0,silver,lasagna
6295,2020-01-11,ghost,36.0,mountain,nightly disturbance,brute force,night,cloak,6295,ghost,yes,839.0,f,159.0,74.0,3.0,pumpkin,lasagna
2908,2022-02-07,zombie,55.0,swamp,kidnapping,knife,dawn,blood,2908,zombie,yes,71.0,m,182.0,16.0,6.0,cat hair,pesto pasta
5377,2021-04-16,skeleton,58.0,mountain,nightly disturbance,knife,night,bones,5377,skeleton,no,842.0,f,180.0,11.0,2.0,silver,humans
807,2022-05-08,vampire,23.0,castle,assault,axe,night,blood,807,vampire,no,726.0,m,158.0,41.0,7.0,silver,pesto pasta
3607,2024-01-22,werewolf,26.0,forest,kidnapping,pistol,night,fur,3607,werewolf,no,179.0,f,188.0,100.0,5.0,silver,brain
2926,2021-08-13,werewolf,87.0,swamp,assault,pistol,dusk,blood,2926,werewolf,yes,127.0,m,176.0,85.0,7.0,silver,pesto pasta
2959,2021-07-31,vampire,68.0,mountain,assault,axe,dusk,blood,2959,vampire,no,377.0,f,172.0,41.0,3.0,garlic,humans
8262,2024-08-16,ghost,65.0,forest,theft,knife,dawn,cloak,8262,ghost,yes,904.0,f,168.0,69.0,3.0,sunlight,humans
981,2023-09-13,zombie,92.0,swamp,kidnapping,knife,dusk,potions,981,zombie,no,65.0,m,180.0,19.0,6.0,cat hair,rats
6756,2023-02-10,witch,73.0,swamp,arson,,day,cloak,6756,witch,no,388.0,m,174.0,21.0,1.0,silver,humans
8662,2024-03-14,vampire,67.0,castle,assault,brute force,night,blood,8662,vampire,yes,43.0,f,166.0,41.0,6.0,garlic,rats
2043,2021-12-08,vampire,84.0,mountain,theft,pistol,night,cloak,2043,vampire,no,631.0,m,169.0,31.0,7.0,garlic,humans
9145,2024-02-21,ghost,75.0,village,vandalism,,dusk,cloak,9145,ghost,yes,2574.0,m,199.0,82.0,10.0,hazelnut,lasagna
961,2023-03-26,skeleton,69.0,forest,arson,,day,bones,961,skeleton,yes,876.0,f,166.0,21.0,10.0,silver,humans
5414,2023-07-13,skeleton,54.0,mountain,nightly disturbance,,night,cloak,5414,skeleton,no,903.0,f,155.0,36.0,7.0,silver,humans
3896,2024-08-03,zombie,29.0,village,kidnapping,axe,dawn,blood,3896,zombie,no,125.0,f,164.0,12.0,9.0,garlic,humans
5921,2021-08-01,skeleton,60.0,mountain,assault,,day,bones,5921,skeleton,yes,1620.0,f,194.0,31.0,9.0,silver,humans
3179,2022-07-08,skeleton,3.0,mountain,nightly disturbance,knife,night,cloak,3179,skeleton,yes,427.0,f,151.0,1.0,6.0,silver,pesto pasta
3340,2021-12-23,zombie,95.0,forest,murder,pistol,dawn,potions,3340,zombie,no,98.0,f,155.0,13.0,5.0,garlic,lasagna
3038,2022-08-19,werewolf,58.0,forest,assault,knife,night,bones,3038,werewolf,no,48.0,f,180.0,47.0,9.0,silver,lasagna
9092,2023-01-11,vampire,4.0,forest,assault,axe,night,blood,9092,vampire,no,700.0,f,187.0,49.0,7.0,silver,rats
7847,2021-04-20,skeleton,96.0,mountain,assault,axe,day,cloak,7847,skeleton,no,1.0,f,193.0,36.0,10.0,pumpkin,brain
7511,2021-05-14,skeleton,91.0,forest,vandalism,knife,day,cloak,7511,skeleton,no,1186.0,f,187.0,28.0,2.0,silver,lasagna
8019,2024-04-06,zombie,35.0,swamp,murder,axe,dusk,blood,8019,zombie,yes,71.0,f,174.0,12.0,5.0,silver,lasagna
9330,2022-02-22,skeleton,39.0,castle,assault,,day,bones,9330,skeleton,no,708.0,f,167.0,46.0,3.0,cat hair,lasagna
1068,2023-10-05,skeleton,57.0,mountain,arson,pistol,day,bones,1068,skeleton,no,788.0,m,164.0,18.0,8.0,silver,lasagna
3188,2023-08-15,werewolf,61.0,mountain,assault,,dusk,fur,3188,werewolf,yes,114.0,m,153.0,84.0,8.0,hazelnut,rats
3826,2023-09-26,zombie,66.0,swamp,vandalism,knife,day,blood,3826,zombie,no,132.0,f,183.0,12.0,1.0,pumpkin,humans
9281,2021-01-30,skeleton,64.0,castle,assault,brute force,night,bones,9281,skeleton,yes,1168.0,f,158.0,24.0,9.0,silver,lasagna
7902,2022-08-05,zombie,44.0,swamp,murder,axe,night,blood,7902,zombie,yes,159.0,f,191.0,15.0,3.0,silver,humans
7612,2022-07-22,vampire,6.0,castle,nightly disturbance,,night,blood,7612,vampire,yes,492.0,m,175.0,32.0,9.0,silver,lasagna
7302,2020-09-23,witch,69.0,village,arson,,day,potions,7302,witch,yes,404.0,f,175.0,21.0,5.0,hazelnut,lasagna
772,2020-10-24,ghost,5.0,village,vandalism,axe,night,cloak,772,ghost,no,1.0,f,155.0,14.0,10.0,sunlight,humans
5067,2022-01-27,vampire,50.0,castle,assault,knife,dusk,blood,5067,vampire,yes,744.0,f,188.0,13.0,8.0,sunlight,pesto pasta
4950,2023-10-26,vampire,43.0,castle,theft,,night,blood,4950,vampire,yes,488.0,m,177.0,48.0,6.0,silver,lasagna
8173,2024-07-03,zombie,53.0,swamp,kidnapping,knife,dusk,bones,8173,zombie,no,191.0,f,177.0,21.0,5.0,cat hair,brain
6913,2020-04-14,werewolf,80.0,mountain,nightly disturbance,pistol,night,blood,6913,werewolf,yes,150.0,f,173.0,67.0,7.0,silver,lasagna
2191,2023-03-16,werewolf,12.0,mountain,vandalism,,night,fur,2191,werewolf,yes,114.0,f,168.0,82.0,1.0,silver,brain
1883,2020-01-01,ghost,65.0,village,theft,brute force,dawn,potions,1883,ghost,yes,1.0,f,185.0,100.0,9.0,sunlight,rats
7927,2020-11-04,ghost,65.0,village,nightly disturbance,brute force,night,potions,7927,ghost,no,1752.0,m,158.0,37.0,3.0,silver,pesto pasta
9214,2023-10-11,zombie,72.0,swamp,vandalism,knife,dusk,potions,9214,zombie,no,65.0,f,188.0,14.0,1.0,cat hair,rats
2368,2023-12-20,skeleton,58.0,castle,nightly disturbance,,night,bones,2368,skeleton,yes,856.0,m,174.0,27.0,7.0,garlic,pesto pasta
5585,2021-12-22,skeleton,19.0,mountain,assault,axe,day,cloak,5585,skeleton,no,294.0,f,192.0,1.0,10.0,silver,humans
6812,2022-11-24,vampire,55.0,castle,nightly disturbance,,night,cloak,6812,vampire,no,219.0,f,164.0,39.0,7.0,silver,humans
4044,2022-04-18,zombie,90.0,mountain,kidnapping,,dawn,bones,4044,zombie,no,45.0,m,198.0,7.0,2.0,cat hair,humans
1135,2023-03-05,werewolf,71.0,forest,assault,pistol,night,blood,1135,werewolf,yes,110.0,f,159.0,65.0,5.0,silver,rats
8798,2020-09-29,skeleton,65.0,mountain,nightly disturbance,brute force,night,bones,8798,skeleton,yes,1543.0,m,183.0,49.0,7.0,silver,humans
4090,2023-10-19,skeleton,22.0,mountain,assault,knife,dusk,cloak,4090,skeleton,yes,572.0,m,173.0,10.0,4.0,silver,humans
7715,2023-11-28,witch,42.0,village,arson,knife,dusk,cloak,7715,witch,no,19.0,f,157.0,9.0,1.0,hazelnut,pesto pasta
773,2024-05-02,vampire,55.0,castle,nightly disturbance,brute force,night,blood,773,vampire,no,666.0,f,199.0,45.0,5.0,garlic,pesto pasta
2372,2023-07-16,werewolf,39.0,forest,nightly disturbance,,night,teeth,2372,werewolf,yes,104.0,f,194.0,32.0,1.0,silver,humans
4112,2023-11-02,vampire,50.0,castle,nightly disturbance,axe,night,blood,4112,vampire,yes,488.0,f,150.0,47.0,6.0,silver,humans
7287,2023-10-01,ghost,42.0,castle,nightly disturbance,knife,night,potions,7287,ghost,yes,632.0,m,156.0,63.0,8.0,sunlight,rats
4258,2020-03-06,ghost,25.0,village,nightly disturbance,knife,night,potions,4258,ghost,yes,2625.0,f,194.0,55.0,1.0,sunlight,brain
8029,2021-10-10,witch,63.0,village,kidnapping,axe,dawn,bones,8029,witch,no,203.0,m,196.0,19.0,8.0,hazelnut,humans
6030,2020-06-07,skeleton,1.0,mountain,vandalism,axe,day,bones,6030,skeleton,no,2447.0,f,169.0,26.0,7.0,silver,lasagna
3385,2023-10-06,vampire,80.0,mountain,murder,,night,teeth,3385,vampire,yes,700.0,f,155.0,23.0,6.0,garlic,lasagna
4742,2023-06-02,werewolf,66.0,village,assault,pistol,night,blood,4742,werewolf,yes,105.0,f,164.0,100.0,8.0,hazelnut,lasagna
3434,2022-05-15,witch,76.0,village,arson,,day,potions,3434,witch,no,649.0,f,153.0,26.0,1.0,hazelnut,humans
4122,2022-10-28,skeleton,13.0,castle,vandalism,pistol,day,bones,4122,skeleton,yes,486.0,f,179.0,11.0,6.0,silver,humans
9241,2023-03-03,werewolf,66.0,mountain,assault,axe,night,teeth,9241,werewolf,no,33.0,m,165.0,81.0,7.0,silver,lasagna
1238,2021-06-11,werewolf,85.0,village,assault,,night,blood,1238,werewolf,no,77.0,m,197.0,80.0,4.0,garlic,humans
6356,2023-11-15,skeleton,68.0,castle,assault,brute force,day,bones,6356,skeleton,no,1038.0,f,186.0,1.0,7.0,silver,rats
3156,2023-11-14,witch,33.0,swamp,kidnapping,knife,night,fur,3156,witch,yes,453.0,f,193.0,15.0,9.0,garlic,brain
518,2022-03-15,ghost,47.0,village,nightly disturbance,brute force,night,cloak,518,ghost,yes,2244.0,m,191.0,53.0,10.0,garlic,humans
5854,2021-04-11,zombie,12.0,swamp,assault,,dawn,bones,5854,zombie,yes,98.0,m,153.0,16.0,6.0,sunlight,lasagna
8265,2024-02-26,ghost,97.0,castle,theft,knife,night,potions,8265,ghost,no,873.0,f,159.0,81.0,2.0,sunlight,lasagna
9512,2023-03-21,ghost,34.0,castle,vandalism,brute force,dawn,potions,9512,ghost,yes,3267.0,m,184.0,52.0,4.0,cat hair,brain
97,2021-11-26,skeleton,20.0,mountain,nightly disturbance,brute force,night,bones,97,skeleton,yes,1.0,m,165.0,28.0,7.0,silver,pesto pasta
6749,2019-11-11,skeleton,71.0,mountain,arson,,dusk,cloak,6749,skeleton,no,569.0,m,188.0,1.0,5.0,silver,pesto pasta
1528,2020-01-11,werewolf,5.0,forest,assault,pistol,night,teeth,1528,werewolf,no,166.0,f,197.0,84.0,6.0,cat hair,humans
8881,2022-12-14,zombie,18.0,swamp,kidnapping,,dusk,potions,8881,zombie,no,24.0,f,185.0,12.0,1.0,silver,brain
120,2023-09-01,skeleton,29.0,mountain,nightly disturbance,,night,cloak,120,skeleton,yes,2175.0,f,152.0,18.0,10.0,silver,humans
7868,2024-08-11,witch,58.0,village,arson,pistol,dusk,cloak,7868,witch,no,580.0,m,188.0,15.0,3.0,hazelnut,rats
6583,2020-01-21,witch,95.0,swamp,arson,,dusk,cloak,6583,witch,yes,500.0,f,165.0,17.0,1.0,pumpkin,humans
34,2022-05-06,skeleton,48.0,mountain,arson,axe,day,bones,34,skeleton,no,190.0,m,170.0,51.0,10.0,garlic,rats
7964,2022-09-30,witch,80.0,forest,kidnapping,knife,day,cloak,7964,witch,yes,208.0,f,169.0,15.0,3.0,pumpkin,pesto pasta
6900,2024-09-30,werewolf,60.0,village,assault,,dusk,fur,6900,werewolf,no,110.0,m,171.0,53.0,2.0,silver,pesto pasta
5478,2023-09-25,skeleton,61.0,mountain,arson,pistol,dusk,bones,5478,skeleton,no,1622.0,m,175.0,43.0,10.0,silver,pesto pasta
1080,2022-12-10,zombie,67.0,swamp,kidnapping,knife,night,blood,1080,zombie,yes,110.0,m,189.0,17.0,1.0,sunlight,lasagna
1362,2020-02-18,werewolf,79.0,forest,vandalism,knife,dawn,blood,1362,werewolf,no,14.0,f,173.0,40.0,5.0,hazelnut,brain
4794,2022-08-11,skeleton,65.0,mountain,nightly disturbance,knife,night,bones,4794,skeleton,yes,1328.0,f,159.0,6.0,5.0,silver,humans
6065,2022-09-11,ghost,46.0,castle,arson,,night,potions,6065,ghost,no,2097.0,m,172.0,54.0,1.0,pumpkin,lasagna
6100,2024-07-05,vampire,55.0,castle,assault,,night,cloak,6100,vampire,no,132.0,m,198.0,46.0,8.0,silver,lasagna
3856,2022-12-31,skeleton,75.0,castle,arson,brute force,dusk,bones,3856,skeleton,yes,921.0,f,197.0,18.0,4.0,garlic,rats
8533,2022-12-21,vampire,82.0,village,nightly disturbance,axe,night,blood,8533,vampire,no,576.0,m,172.0,38.0,6.0,garlic,lasagna
5323,2020-04-28,vampire,77.0,castle,theft,pistol,night,blood,5323,vampire,no,636.0,f,186.0,29.0,6.0,garlic,lasagna
6967,2022-08-23,zombie,71.0,swamp,assault,axe,dusk,potions,6967,zombie,no,187.0,m,199.0,10.0,7.0,sunlight,humans
5363,2023-01-25,skeleton,27.0,forest,assault,brute force,day,bones,5363,skeleton,yes,1106.0,m,193.0,10.0,4.0,pumpkin,rats
32,2022-03-07,werewolf,94.0,forest,nightly disturbance,axe,night,blood,32,werewolf,no,120.0,f,186.0,77.0,4.0,silver,humans
5734,2024-02-17,zombie,20.0,swamp,kidnapping,knife,dusk,bones,5734,zombie,no,118.0,f,183.0,20.0,2.0,silver,lasagna
4431,2020-12-26,ghost,25.0,village,arson,pistol,night,cloak,4431,ghost,no,3345.0,m,168.0,74.0,3.0,sunlight,pesto pasta
30,2023-10-05,witch,31.0,village,kidnapping,axe,dawn,cloak,30,witch,no,374.0,m,167.0,7.0,7.0,hazelnut,brain
4244,2020-12-07,zombie,26.0,mountain,murder,brute force,dusk,bones,4244,zombie,yes,53.0,f,178.0,9.0,4.0,sunlight,brain
7580,2023-01-21,werewolf,43.0,forest,assault,pistol,night,teeth,7580,werewolf,no,10.0,f,165.0,61.0,8.0,hazelnut,brain
743,2022-06-29,skeleton,26.0,mountain,vandalism,,day,cloak,743,skeleton,yes,35.0,m,165.0,30.0,5.0,silver,brain
2090,2021-01-23,vampire,47.0,castle,nightly disturbance,brute force,night,blood,2090,vampire,yes,449.0,f,197.0,51.0,6.0,silver,lasagna
107,2023-05-22,witch,19.0,village,arson,,day,potions,107,witch,yes,335.0,f,168.0,14.0,1.0,hazelnut,lasagna
9741,2019-11-20,witch,29.0,forest,kidnapping,pistol,night,cloak,9741,witch,no,198.0,f,199.0,14.0,3.0,garlic,pesto pasta
8984,2020-11-01,vampire,22.0,castle,assault,,night,blood,8984,vampire,yes,450.0,m,153.0,36.0,2.0,garlic,pesto pasta
8097,2021-12-31,skeleton,90.0,mountain,nightly disturbance,knife,night,bones,8097,skeleton,yes,1124.0,f,185.0,25.0,2.0,hazelnut,humans
2259,2021-08-18,skeleton,26.0,mountain,arson,axe,day,cloak,2259,skeleton,no,717.0,f,187.0,21.0,6.0,garlic,lasagna
1003,2020-03-19,zombie,82.0,village,assault,brute force,night,blood,1003,zombie,no,99.0,f,193.0,23.0,4.0,cat hair,rats
9507,2021-12-25,ghost,69.0,castle,nightly disturbance,axe,night,potions,9507,ghost,yes,2635.0,f,167.0,16.0,8.0,pumpkin,pesto pasta
7129,2020-08-17,skeleton,82.0,mountain,arson,knife,dusk,cloak,7129,skeleton,no,1128.0,f,156.0,3.0,3.0,silver,humans
6858,2020-07-18,ghost,15.0,castle,nightly disturbance,,night,cloak,6858,ghost,no,2980.0,f,189.0,62.0,1.0,garlic,brain
365,2020-05-08,zombie,29.0,swamp,assault,knife,dawn,fur,365,zombie,yes,97.0,f,153.0,21.0,1.0,cat hair,pesto pasta
309,2024-10-10,werewolf,48.0,forest,assault,,night,bones,309,werewolf,yes,1.0,f,161.0,100.0,8.0,silver,lasagna
2656,2022-11-20,ghost,30.0,castle,vandalism,pistol,night,cloak,2656,ghost,no,603.0,m,189.0,79.0,9.0,cat hair,brain
9055,2022-11-02,ghost,45.0,castle,arson,axe,night,cloak,9055,ghost,yes,2836.0,f,151.0,42.0,10.0,sunlight,humans
4559,2021-07-09,skeleton,63.0,castle,arson,brute force,day,cloak,4559,skeleton,no,525.0,m,171.0,29.0,7.0,pumpkin,pesto pasta
5970,2021-10-04,werewolf,19.0,forest,vandalism,axe,night,blood,5970,werewolf,yes,141.0,m,181.0,71.0,7.0,silver,humans
8398,2022-12-22,werewolf,18.0,forest,nightly disturbance,knife,night,fur,8398,werewolf,no,169.0,m,154.0,84.0,6.0,silver,pesto pasta
3134,2023-11-27,skeleton,65.0,mountain,nightly disturbance,brute force,night,bones,3134,skeleton,no,2229.0,f,154.0,29.0,7.0,pumpkin,lasagna
5763,2022-09-30,vampire,12.0,castle,nightly disturbance,,night,blood,5763,vampire,yes,670.0,m,199.0,44.0,1.0,sunlight,rats
3937,2020-11-13,werewolf,79.0,mountain,nightly disturbance,pistol,night,potions,3937,werewolf,no,104.0,f,168.0,100.0,6.0,silver,rats
5497,2022-10-30,ghost,57.0,castle,nightly disturbance,pistol,night,cloak,5497,ghost,yes,1339.0,f,164.0,77.0,9.0,pumpkin,brain
8007,2023-09-03,vampire,22.0,mountain,nightly disturbance,pistol,night,blood,8007,vampire,no,486.0,f,167.0,43.0,6.0,sunlight,lasagna
629,2021-09-07,zombie,52.0,mountain,kidnapping,,dusk,blood,629,zombie,no,114.0,m,164.0,13.0,2.0,cat hair,humans
7306,2024-05-03,vampire,8.0,castle,assault,brute force,night,blood,7306,vampire,no,605.0,f,159.0,32.0,9.0,silver,pesto pasta
2526,2023-05-16,werewolf,88.0,forest,assault,pistol,dusk,fur,2526,werewolf,yes,72.0,f,184.0,57.0,7.0,cat hair,brain
721,2020-10-11,zombie,17.0,mountain,kidnapping,pistol,dawn,teeth,721,zombie,yes,115.0,f,175.0,14.0,5.0,cat hair,brain
8489,2021-04-05,witch,54.0,village,arson,pistol,day,potions,8489,witch,yes,227.0,m,183.0,22.0,5.0,hazelnut,pesto pasta
2887,2021-04-24,witch,69.0,mountain,kidnapping,,dusk,cloak,2887,witch,yes,112.0,m,178.0,30.0,4.0,pumpkin,brain
4312,2020-08-07,skeleton,43.0,swamp,arson,pistol,day,bones,4312,skeleton,yes,1950.0,m,169.0,6.0,3.0,silver,rats
